date,open,high,low,close,volume,market cap,market cap (2),book to market_for security,number of shares
2000-01-03,8.875,9.0,8.75,8.75,900400.0,,787108.0,1.07,26403
2000-01-04,8.79688,8.84375,8.625,8.64062,892000.0,,787108.0,1.06,26403
2000-01-05,8.70312,8.75,8.51562,8.6875,1016800.0,,787108.0,1.06,26403
2000-01-06,8.6875,8.76562,8.53125,8.69531,1045200.0,,787108.0,1.06,26403
2000-01-07,8.76562,9.07812,8.6875,9.01562,1304800.0,,787108.0,1.1,26403
2000-01-10,9.07812,9.21875,8.8125,8.85938,1474800.0,,787108.0,1.09,26403
2000-01-11,8.96875,9.10938,8.85938,8.85938,1962800.0,,787108.0,1.09,26403
2000-01-12,8.92188,9.0,8.59375,8.60938,1040400.0,,787108.0,1.05,26403
2000-01-13,8.51562,8.70312,8.46875,8.59375,1389600.0,,787108.0,1.05,26403
2000-01-14,8.625,8.70312,8.5,8.54688,1209200.0,,787108.0,1.05,26403
2000-01-17,,,,,,,787108.0,1.05,26403
2000-01-18,8.57812,8.60938,8.53125,8.53125,765600.0,,787108.0,1.04,26403
2000-01-19,8.51562,8.5625,8.3125,8.32812,941200.0,,787108.0,1.02,26403
2000-01-20,8.34375,8.42188,8.07812,8.125,1241600.0,,787108.0,1.0,26403
2000-01-21,8.0,8.14062,7.79688,7.95312,1471600.0,,787108.0,0.97,26403
2000-01-24,7.96875,8.0,7.53125,7.53125,1567200.0,,787108.0,0.92,26403
2000-01-25,7.59375,7.73438,7.57812,7.625,938000.0,,787108.0,0.93,26403
2000-01-26,7.625,8.1875,7.57812,8.0625,1780000.0,,787108.0,0.99,26403
2000-01-27,8.09375,8.09375,7.9375,7.96875,959200.0,,787108.0,0.98,26403
2000-01-28,8.01562,8.21875,8.0,8.15625,824000.0,,787108.0,1.0,26403
2000-01-31,8.125,8.17188,7.96875,7.96875,1047200.0,,787108.0,0.98,26403
2000-02-01,7.46875,8.17188,7.375,7.9375,3467600.0,,787108.0,0.97,26403
2000-02-02,7.90625,8.03125,7.73438,7.95312,1629600.0,,787108.0,0.97,26403
2000-02-03,7.84375,7.89062,7.71875,7.78125,1693200.0,,787108.0,0.95,26403
2000-02-04,7.76562,7.79688,7.67188,7.67188,942400.0,,787108.0,0.94,26403
2000-02-07,7.60938,7.75,7.54688,7.59375,1138800.0,,787108.0,0.93,26403
2000-02-08,7.59375,7.59375,7.45312,7.51562,1420400.0,,787108.0,0.92,26403
2000-02-09,7.5,7.5,7.39062,7.39062,782800.0,,787108.0,0.91,26403
2000-02-10,7.48438,7.54688,7.29688,7.45312,1642800.0,,787108.0,0.91,26403
2000-02-11,7.40625,7.45312,7.29688,7.29688,482400.0,,787108.0,0.89,26403
2000-02-14,7.28125,7.29688,6.76562,6.82812,1692000.0,,787108.0,0.84,26403
2000-02-15,6.875,7.0,6.75,6.92188,1457200.0,,787108.0,0.85,26403
2000-02-16,6.92188,7.04688,6.85938,6.95312,1769200.0,,787108.0,0.85,26403
2000-02-17,6.98438,7.14062,6.95312,7.09375,1376800.0,,787108.0,0.87,26403
2000-02-18,7.14062,7.17188,6.9375,7.03125,898000.0,,787108.0,0.86,26403
2000-02-21,,,,,,,787108.0,0.86,26403
2000-02-22,7.03125,7.03125,6.8125,6.85938,1195200.0,,787108.0,0.84,26403
2000-02-23,6.89062,6.89062,6.76562,6.78125,1871600.0,,787108.0,0.83,26403
2000-02-24,6.79688,6.82812,6.65625,6.8125,713200.0,,787108.0,0.83,26403
2000-02-25,6.75,6.76562,6.625,6.65625,616000.0,,787108.0,0.82,26403
2000-02-28,6.625,6.89062,6.625,6.76562,621600.0,,787108.0,0.83,26411
2000-02-29,6.82812,6.82812,6.53125,6.625,987600.0,,787108.0,0.81,26411
2000-03-01,6.6875,6.84375,6.65625,6.67188,907200.0,,787108.0,0.82,26411
2000-03-02,6.64062,6.67188,6.5,6.53125,638800.0,,787108.0,0.8,26411
2000-03-03,6.54688,6.82812,6.46875,6.79688,1117600.0,,787108.0,0.83,26411
2000-03-06,6.73438,6.75,6.40625,6.51562,1013200.0,,787108.0,0.8,26411
2000-03-07,6.54688,6.54688,6.3125,6.375,880000.0,,787108.0,0.78,26411
2000-03-08,6.4375,6.75,6.4375,6.6875,1961600.0,,787108.0,0.82,26411
2000-03-09,6.5625,6.78125,6.375,6.5,1833200.0,,787108.0,0.8,26411
2000-03-10,6.59375,6.85938,6.54688,6.71875,888400.0,,787108.0,0.82,26411
2000-03-13,6.71875,6.8125,6.5,6.76562,730400.0,,787108.0,0.83,26411
2000-03-14,6.78125,6.84375,6.40625,6.48438,1840400.0,,787108.0,0.79,26411
2000-03-15,6.53125,7.57812,6.53125,7.51562,2609600.0,,787108.0,0.92,26411
2000-03-16,7.57812,8.3125,7.46875,8.125,2004800.0,,787108.0,1.0,26411
2000-03-17,8.0625,8.15625,7.60938,7.67188,1437600.0,,787108.0,0.94,26411
2000-03-20,7.25,7.65625,7.21875,7.5,2272000.0,,787108.0,0.92,26411
2000-03-21,7.5,8.04688,7.46875,7.90625,1236400.0,,787108.0,0.97,26411
2000-03-22,7.92188,7.92188,7.21875,7.23438,3377200.0,,787108.0,0.89,26411
2000-03-23,7.23438,7.59375,7.14062,7.59375,1602000.0,,787108.0,0.93,26411
2000-03-24,7.54688,7.76562,7.25,7.26562,2410000.0,,787108.0,0.89,26411
2000-03-27,7.28125,7.45312,7.17188,7.23438,701600.0,,787108.0,0.89,26411
2000-03-28,7.28125,7.5,7.28125,7.4375,1496800.0,,787108.0,0.91,26411
2000-03-29,7.46875,7.60938,7.25,7.3125,1274800.0,,787108.0,0.9,26411
2000-03-30,7.375,7.375,7.1875,7.20312,1140000.0,,787108.0,0.88,26411
2000-03-31,7.1875,7.54688,7.17188,7.51562,1852000.0,,787108.0,0.92,26411
2000-04-03,7.5,7.53125,7.1875,7.25,1118800.0,,787108.0,0.89,26411
2000-04-04,7.3125,7.45312,7.01562,7.25,1284000.0,,787108.0,0.89,26411
2000-04-05,7.26562,7.875,7.25,7.75,1430000.0,,787108.0,0.95,26411
2000-04-06,7.71875,7.84375,7.6875,7.71875,573200.0,,787108.0,0.95,26411
2000-04-07,7.65625,7.73438,7.40625,7.48438,562800.0,,787108.0,0.92,26411
2000-04-10,7.5,7.6875,7.5,7.59375,758800.0,,787108.0,0.93,26411
2000-04-11,7.65625,7.875,7.625,7.84375,862400.0,,787108.0,0.96,26411
2000-04-12,7.90625,7.96875,7.75,7.84375,886000.0,,787108.0,0.96,26411
2000-04-13,7.90625,7.90625,7.78125,7.79688,1628400.0,,787108.0,0.96,26411
2000-04-14,7.75,7.76562,7.23438,7.40625,1247600.0,,787108.0,0.91,26411
2000-04-17,7.3125,7.35938,7.125,7.23438,1144000.0,,787108.0,0.89,26411
2000-04-18,7.23438,7.5,7.21875,7.4375,961600.0,,787108.0,0.91,26411
2000-04-19,7.34375,7.73438,7.23438,7.60938,1197200.0,,787108.0,0.93,26411
2000-04-20,7.60938,7.60938,7.28125,7.4375,699200.0,,787108.0,0.91,26411
2000-04-21,,,,,,,787108.0,0.91,26411
2000-04-24,7.4375,7.4375,7.03125,7.10938,994800.0,,787108.0,0.87,26411
2000-04-25,7.15625,7.4375,7.15625,7.4375,583600.0,,787108.0,0.91,26411
2000-04-26,7.4375,7.4375,7.15625,7.23438,1038000.0,,787108.0,0.89,26411
2000-04-27,7.1875,7.23438,7.0625,7.1875,564000.0,,787108.0,0.88,26411
2000-04-28,7.1875,7.25,7.04688,7.1875,638000.0,,787108.0,0.88,26439
2000-05-01,7.17188,7.5625,7.15625,7.46875,820400.0,,787108.0,0.92,26439
2000-05-02,7.4375,7.51562,7.20312,7.3125,627200.0,,787108.0,0.9,26439
2000-05-03,7.32812,7.32812,7.20312,7.21875,570000.0,,787108.0,0.89,26439
2000-05-04,7.375,7.45312,7.34375,7.42188,692800.0,,787108.0,0.91,26439
2000-05-05,7.42188,7.6875,7.40625,7.53125,741200.0,,787108.0,0.92,26439
2000-05-08,7.59375,7.8125,7.51562,7.75,778800.0,,787108.0,0.95,26439
2000-05-09,7.76562,7.79688,7.35938,7.5625,903200.0,,787108.0,0.93,26439
2000-05-10,7.51562,7.64062,7.3125,7.375,670400.0,,787108.0,0.9,26439
2000-05-11,7.375,7.53125,7.375,7.45312,817200.0,,787108.0,0.91,26439
2000-05-12,7.4375,7.48438,7.125,7.1875,1062400.0,,787108.0,0.88,26439
2000-05-15,7.20312,7.375,7.125,7.29688,599600.0,,787108.0,0.89,26439
2000-05-16,7.25,7.45312,7.1875,7.45312,1046400.0,,787108.0,0.91,26439
2000-05-17,7.39062,7.71875,7.375,7.53125,688000.0,,787108.0,0.92,26439
2000-05-18,7.5,7.51562,7.1875,7.26562,513600.0,,787108.0,0.89,26439
2000-05-19,7.25,7.25,7.15625,7.15625,407600.0,,787108.0,0.88,26439
2000-05-22,7.15625,7.20312,6.98438,6.98438,772400.0,,787108.0,0.86,26439
2000-05-23,6.98438,7.17188,6.98438,7.14062,624400.0,,787108.0,0.88,26439
2000-05-24,8.0,8.01562,7.375,7.5,3803600.0,,787108.0,0.92,26439
2000-05-25,7.53125,7.6875,7.53125,7.60938,1075200.0,,787108.0,0.93,26439
2000-05-26,7.60938,7.60938,7.51562,7.51562,584000.0,,787108.0,0.92,26439
2000-05-29,,,,,,,787108.0,0.92,26439
2000-05-30,7.53125,7.82812,7.53125,7.78125,850800.0,,787108.0,0.95,26439
2000-05-31,7.78125,7.8125,7.76562,7.78125,764400.0,,787108.0,0.95,26439
2000-06-01,7.8125,7.98438,7.79688,7.98438,485200.0,,787108.0,0.98,26439
2000-06-02,8.28125,8.29688,7.03125,7.6875,4353200.0,,787108.0,0.94,26439
2000-06-05,7.625,7.71875,7.40625,7.5,1676000.0,,787108.0,0.92,26439
2000-06-06,7.5625,7.60938,7.26562,7.4375,1103200.0,,787108.0,0.91,26439
2000-06-07,7.46875,7.625,7.3125,7.59375,1778400.0,,787108.0,0.93,26439
2000-06-08,7.5625,7.73438,7.5,7.73438,639600.0,,787108.0,0.95,26439
2000-06-09,7.70312,7.90625,7.6875,7.85938,936400.0,,787108.0,0.96,26439
2000-06-12,7.875,7.875,7.34375,7.46875,969600.0,,787108.0,0.92,26439
2000-06-13,7.46875,7.46875,7.20312,7.34375,886400.0,,787108.0,0.9,26439
2000-06-14,7.3125,7.4375,7.125,7.4375,984400.0,,787108.0,0.91,26439
2000-06-15,7.3125,7.375,7.1875,7.25,1137200.0,,787108.0,0.89,26439
2000-06-16,7.21875,7.23438,7.10938,7.20312,883600.0,,787108.0,0.88,26439
2000-06-19,7.23438,7.29688,7.23438,7.25,531600.0,,787108.0,0.89,26439
2000-06-20,7.3125,7.32812,7.20312,7.21875,1123600.0,,787108.0,0.89,26439
2000-06-21,7.21875,7.21875,7.15625,7.17188,576000.0,,787108.0,0.88,26439
2000-06-22,7.17188,7.17188,6.9375,6.95312,1477600.0,,787108.0,0.85,26439
2000-06-23,6.96875,6.98438,6.82812,6.96875,666400.0,,787108.0,0.85,26439
2000-06-26,6.98438,6.98438,6.78125,6.8125,499200.0,,787108.0,0.84,26439
2000-06-27,6.8125,7.04688,6.8125,6.9375,1252800.0,,787108.0,0.85,26439
2000-06-28,6.98438,7.0625,6.89062,7.04688,979600.0,,787108.0,0.86,26439
2000-06-29,6.6875,6.90625,6.60938,6.64062,2548000.0,,787108.0,0.81,26439
2000-06-30,6.70312,7.125,6.64062,6.78125,1870400.0,,787108.0,0.83,26439
2000-07-03,6.79688,6.82812,6.71875,6.76562,238000.0,,787108.0,0.83,26439
2000-07-04,,,,,,,787108.0,0.83,26439
2000-07-05,6.9375,7.04688,6.76562,6.98438,1492800.0,,787108.0,0.86,26439
2000-07-06,7.0,7.0,6.65625,6.95312,1957600.0,,787108.0,0.85,26439
2000-07-07,7.0,7.0625,6.96875,7.0,513600.0,,787108.0,0.86,26439
2000-07-10,7.01562,7.01562,6.8125,6.89062,1211200.0,,787108.0,0.85,26439
2000-07-11,6.9375,6.95312,6.78125,6.78125,523600.0,,787108.0,0.83,26439
2000-07-12,6.82812,7.23438,6.82812,7.17188,1070400.0,,787108.0,0.88,26439
2000-07-13,7.1875,7.23438,7.04688,7.10938,405200.0,,787108.0,0.87,26439
2000-07-14,6.625,7.03125,6.5625,6.875,2677200.0,,787108.0,0.84,26439
2000-07-17,6.9375,7.15625,6.90625,7.07812,669200.0,,787108.0,0.87,26439
2000-07-18,7.07812,7.10938,6.875,7.01562,696000.0,,787108.0,0.86,26439
2000-07-19,6.9375,6.9375,6.70312,6.73438,1103200.0,,787108.0,0.83,26439
2000-07-20,6.78125,6.82812,6.6875,6.78125,596800.0,,787108.0,0.83,26439
