date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,16.71985,16.87262,16.38036,16.66893,3878251.0,25891622.0,6.72,290931
2000-01-04,16.39734,16.56708,16.22759,16.29549,1740481.0,25891622.0,6.56,290931
2000-01-05,16.29549,17.21211,16.1597,17.00842,4200426.0,25891622.0,6.85,290931
2000-01-06,16.80473,17.51765,16.80473,17.36488,3350620.0,25891622.0,7.0,290931
2000-01-07,17.48371,18.38335,17.41581,18.3494,4469948.0,25891622.0,7.39,290931
2000-01-10,18.40033,18.40033,17.58555,17.65345,1916481.0,25891622.0,7.11,290931
2000-01-11,17.44976,17.82319,17.33093,17.65345,2438589.0,25891622.0,7.11,290931
2000-01-12,17.70437,17.7553,17.44976,17.44976,1862356.0,25891622.0,7.03,290931
2000-01-13,17.58555,18.16268,17.51765,17.85714,2743826.0,25891622.0,7.19,290931
2000-01-14,17.65345,17.78925,16.92355,17.31396,4230618.0,25891622.0,6.98,290931
2000-01-17,,,,,,25891622.0,6.98,290931
2000-01-18,17.24606,17.38186,16.97447,17.09329,2381149.0,25891622.0,6.89,290931
2000-01-19,17.09329,17.21211,16.92355,17.05934,2603910.0,25891622.0,6.87,290931
2000-01-20,16.99145,17.07632,16.43129,16.56708,5330431.0,25891622.0,6.67,290931
2000-01-21,16.56708,16.56708,16.39734,16.49919,5988773.0,25891622.0,6.65,290931
2000-01-24,16.49919,16.55011,15.98995,16.10877,3413582.0,25891622.0,6.49,290931
2000-01-25,16.05785,16.07482,15.27702,15.75231,7155967.0,25891622.0,6.35,290931
2000-01-26,15.68441,15.98995,15.20912,15.75231,9850823.0,25891622.0,6.35,290931
2000-01-27,16.1597,17.38186,16.0239,17.12724,11235623.0,25891622.0,6.89,290931
2000-01-28,17.12724,18.04386,16.83867,17.02539,7589338.0,25891622.0,6.86,290931
2000-01-31,17.38186,17.48371,17.09329,17.34791,7941338.0,25891622.0,6.99,290931
2000-02-01,17.34791,17.34791,17.00842,17.14421,2967692.0,25891622.0,6.91,290931
2000-02-02,17.07632,17.28001,16.87262,17.21211,4690132.0,25891622.0,6.93,290931
2000-02-03,17.24606,17.31396,17.05934,17.24606,3586636.0,25891622.0,6.95,290931
2000-02-04,17.17816,17.34791,17.17816,17.24606,4687554.0,25891622.0,6.95,290931
2000-02-07,17.17816,17.28001,16.97447,17.12724,3216227.0,25891622.0,6.9,290931
2000-02-08,17.05934,17.33093,16.9575,17.09329,2740144.0,25891622.0,6.89,290931
2000-02-09,16.83867,17.11027,16.32944,17.07632,4550584.0,25891622.0,6.88,290931
2000-02-10,17.07632,17.07632,16.19365,16.44826,3118286.0,25891622.0,6.63,290931
2000-02-11,16.39734,16.41431,16.0239,16.0918,2643308.0,25891622.0,6.48,290931
2000-02-14,16.19365,16.44826,16.0239,16.22759,2705534.0,25891622.0,6.54,290931
2000-02-15,16.0918,16.22759,15.82021,16.05785,5548038.0,25891622.0,6.47,290931
2000-02-16,16.0239,16.05785,15.61651,15.71836,4143355.0,25891622.0,6.33,290931
2000-02-17,15.71836,15.75231,15.49769,15.66744,4079288.0,25891622.0,6.31,290931
2000-02-18,15.59954,15.59954,15.0903,15.17518,4263388.0,25891622.0,6.11,290931
2000-02-21,,,,,,25891622.0,6.11,290931
2000-02-22,15.10728,15.78626,14.98846,15.48072,5436473.0,25891622.0,6.24,290931
2000-02-23,15.44677,15.61651,15.17518,15.39585,3290603.0,25891622.0,6.2,290931
2000-02-24,15.39585,15.39585,14.66594,14.97148,4404040.0,25891622.0,6.03,290931
2000-02-25,15.10728,15.66744,14.59805,14.71687,4953395.0,25891622.0,5.93,290931
2000-02-28,14.85266,15.26005,14.73384,14.90359,3014085.0,25891622.0,6.0,290931
2000-02-29,15.03938,15.31097,14.80174,14.80174,3574854.0,25891622.0,5.96,290931
2000-03-01,14.88661,15.58256,14.88661,15.2261,4802433.0,25891622.0,6.13,290931
2000-03-02,15.294,15.61651,15.10728,15.42979,7679916.0,25891622.0,6.22,290931
2000-03-03,15.49769,15.92205,15.37887,15.37887,8483328.0,25891622.0,6.2,290931
2000-03-06,15.41282,15.41282,14.76779,14.76779,3489431.0,25891622.0,5.95,290931
2000-03-07,14.90359,14.93753,14.05486,14.07184,4727688.0,25891622.0,5.65,290200
2000-03-08,14.39435,14.93753,14.39435,14.69989,4369061.0,25891622.0,5.91,290200
2000-03-09,14.69989,15.17518,14.61502,15.14123,7024888.0,25891622.0,6.08,290200
2000-03-10,15.14123,15.46374,15.14123,15.2261,7960484.0,25891622.0,6.12,290200
2000-03-13,14.95451,15.10728,14.54712,14.59805,5031821.0,25891622.0,5.87,290200
2000-03-14,14.66594,14.85266,14.59805,14.66594,4163974.0,25891622.0,5.89,290200
2000-03-15,14.83569,16.19365,14.80174,16.00693,5724037.0,25891622.0,6.43,290200
2000-03-16,16.22759,17.02539,16.10877,16.94052,10242956.0,25891622.0,6.81,290200
2000-03-17,17.04237,17.04237,16.66893,16.77078,4826366.0,25891622.0,6.74,290200
2000-03-20,16.77078,17.04237,16.63498,16.7538,5495753.0,25891622.0,6.73,290200
2000-03-21,16.61801,17.34791,16.58406,17.07632,5792522.0,25891622.0,6.86,290200
2000-03-22,16.8896,17.14421,16.71985,17.04237,7279682.0,25891622.0,6.85,290200
2000-03-23,16.94052,17.6195,16.73683,17.36488,9476363.0,25891622.0,6.98,290200
