date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,40.54484,40.67734,38.55735,39.21984,2569067.0,40898085.0,4.43,736398
2000-01-04,39.15359,39.15359,36.96735,38.0936,2837936.0,40898085.0,4.3,736398
2000-01-05,37.62985,38.3586,36.70235,37.23235,3077843.0,40898085.0,4.21,736398
2000-01-06,37.1661,38.42485,36.83485,38.15985,3495108.0,40898085.0,4.31,736398
2000-01-07,37.76235,40.14734,37.76235,40.14734,2220575.0,40898085.0,4.53,736398
2000-01-10,40.27984,40.27984,38.15985,38.3586,1436515.0,40898085.0,4.33,736398
2000-01-11,37.62985,37.9611,37.1661,37.4311,1678686.0,40898085.0,4.23,736398
2000-01-12,37.4311,38.82235,37.4311,38.6236,1508025.0,40898085.0,4.36,736398
2000-01-13,40.27984,40.34609,39.41859,39.61734,1688403.0,40898085.0,4.47,736398
2000-01-14,41.33984,42.39983,40.74359,41.47234,2143027.0,40898085.0,4.68,736398
2000-01-17,,,,,,40898085.0,4.68,736398
2000-01-18,40.27984,40.87609,39.55109,39.61734,1518968.0,40898085.0,4.47,736398
2000-01-19,39.74984,41.00859,39.28609,39.35234,2153688.0,40898085.0,4.44,736398
2000-01-20,40.01484,40.01484,38.95485,38.95485,1368590.0,40898085.0,4.4,736398
2000-01-21,40.27984,40.27984,38.42485,38.55735,1647837.0,40898085.0,4.35,736398
2000-01-24,39.0211,39.55109,37.89485,38.42485,1068023.0,40898085.0,4.34,736398
2000-01-25,38.42485,39.48484,37.9611,38.4911,1504440.0,40898085.0,4.35,736398
2000-01-26,38.55735,41.86983,38.3586,41.80358,2116329.0,40898085.0,4.72,736398
2000-01-27,42.26733,42.79733,41.07484,41.40608,2499350.0,40898085.0,4.68,736398
2000-01-28,40.27984,40.67734,39.74984,40.01484,1849536.0,40898085.0,4.52,736398
2000-01-31,39.94859,43.06233,39.55109,43.06233,2061612.0,40898085.0,4.86,736398
2000-02-01,43.12858,43.39358,42.00233,43.32733,2132178.0,40898085.0,4.89,736398
2000-02-02,43.06233,43.12858,41.80358,42.26733,1475195.0,40898085.0,4.77,736398
2000-02-03,42.66483,42.92983,40.80984,41.93608,1303118.0,40898085.0,4.74,736398
2000-02-04,42.53233,42.53233,40.14734,40.21359,1376704.0,40898085.0,4.54,736398
2000-02-07,40.27984,40.67734,39.81609,40.54484,931324.0,40898085.0,4.58,736398
2000-02-08,41.07484,41.86983,40.80984,41.67108,1309251.0,40898085.0,4.71,736398
2000-02-09,41.67108,41.67108,40.34609,40.34609,1789724.0,40898085.0,4.56,736398
2000-02-10,40.34609,40.74359,38.6236,38.68985,1325194.0,40898085.0,4.37,736398
2000-02-11,38.68985,39.81609,38.68985,39.0211,1373496.0,40898085.0,4.41,736398
2000-02-14,38.7561,39.68359,37.89485,38.19297,1413402.0,40898085.0,4.31,736398
2000-02-15,37.9611,39.81609,37.8286,39.15359,1176703.0,40898085.0,4.42,736398
2000-02-16,39.21984,39.74984,38.7561,39.74984,2636709.0,40898085.0,4.49,736398
2000-02-17,39.35234,39.61734,36.37111,37.1661,2817370.0,40898085.0,4.2,736398
2000-02-18,36.70235,37.23235,34.78111,35.57611,2749539.0,40898085.0,4.02,736398
2000-02-21,,,,,,40898085.0,4.02,736398
2000-02-22,36.03986,36.17236,34.91361,35.97361,1811705.0,40898085.0,4.06,736398
2000-02-23,35.50986,36.10611,35.17861,35.24486,1523780.0,40898085.0,3.98,736398
2000-02-24,34.97986,35.37736,33.38987,33.78736,2473972.0,40898085.0,3.82,736398
2000-02-25,34.05236,35.44361,33.72112,34.97986,2459538.0,40898085.0,3.95,736398
2000-02-28,35.50986,37.2986,35.31111,36.83485,2587180.0,40898085.0,4.16,736398
2000-02-29,36.83485,36.83485,34.91361,35.24486,2443972.0,40898085.0,3.98,736398
2000-03-01,36.03986,36.03986,33.58862,34.38361,3564731.0,40898085.0,3.88,736398
2000-03-02,35.24486,35.24486,34.31736,35.11236,2243217.0,40898085.0,3.97,736398
2000-03-03,35.11236,35.50986,33.98611,33.98611,1835762.0,40898085.0,3.84,736398
2000-03-06,34.44986,34.91361,33.78736,34.71486,1927649.0,40898085.0,3.92,736398
2000-03-07,34.44986,34.51611,33.12487,33.19112,1819158.0,40898085.0,3.75,736398
2000-03-08,32.72737,33.12487,31.53487,32.85987,2789917.0,40898085.0,3.71,736398
2000-03-09,32.92612,34.25111,32.92612,34.11861,2136046.0,40898085.0,3.85,736398
2000-03-10,33.98611,34.64861,33.05862,33.58862,1886611.0,40898085.0,3.79,736398
2000-03-13,33.12487,35.44361,32.99237,35.11236,2109820.0,40898085.0,3.97,736398
2000-03-14,35.17861,35.17861,33.65487,33.78736,1132835.0,40898085.0,3.82,736398
2000-03-15,33.98611,37.62985,33.58862,37.2986,3960016.0,40898085.0,4.21,736398
2000-03-16,38.68985,43.45983,38.42485,43.32733,5542003.0,40898085.0,4.89,736398
2000-03-17,43.19483,43.19483,40.94234,41.00859,2862464.0,40898085.0,4.63,736398
2000-03-20,41.00859,41.07484,38.55735,39.28609,1966706.0,40898085.0,4.44,736398
2000-03-21,39.28609,41.73733,39.08735,40.94234,2592746.0,40898085.0,4.62,736398
2000-03-22,40.67734,41.47234,40.27984,41.20734,1634724.0,40898085.0,4.65,736398
2000-03-23,40.94234,42.86358,40.94234,42.39983,2518972.0,40898085.0,4.79,736398
2000-03-24,42.53233,43.39358,41.86983,43.12858,2510482.0,40898085.0,4.87,736398
2000-03-27,42.59858,42.86358,40.87609,41.67108,1140005.0,40898085.0,4.71,736398
2000-03-28,40.67734,42.92983,40.67734,42.13483,1634441.0,40898085.0,4.76,736398
2000-03-29,42.26733,42.39983,41.40608,41.67108,975381.0,40898085.0,4.71,736398
2000-03-30,41.93608,42.66483,41.53859,41.67108,1481798.0,40898085.0,4.71,736398
2000-03-31,41.67108,44.65232,41.47234,44.05607,2938031.0,40898085.0,4.98,736398
2000-04-03,44.05607,47.03731,44.05607,46.1595,4992001.0,40898085.0,5.21,736398
2000-04-04,45.84482,47.03731,43.06233,44.18857,3956903.0,40898085.0,4.99,736398
2000-04-05,44.32107,45.44732,44.12233,44.45357,2577463.0,40898085.0,5.02,736398
2000-04-06,44.32107,44.78482,43.39358,44.12233,1863970.0,40898085.0,4.98,736398
2000-04-07,44.12233,44.71857,42.59858,42.86358,1089250.0,40898085.0,4.84,736398
2000-04-10,43.12858,45.31482,42.20108,45.18232,1822271.0,40898085.0,5.11,737040
2000-04-11,44.38732,45.24857,43.12858,43.65857,1413119.0,40898085.0,4.94,737040
2000-04-12,43.59233,48.4948,43.59233,45.97732,3628316.0,40898085.0,5.2,737040
2000-04-13,45.71232,46.63981,44.12233,45.71232,2190669.0,40898085.0,5.17,737040
2000-04-14,44.98357,44.98357,41.53859,41.80358,2092178.0,40898085.0,4.73,737040
2000-04-17,41.80358,42.46608,41.47234,41.93608,1907649.0,40898085.0,4.74,737040
2000-04-18,43.19483,45.44732,42.86358,45.38107,2668313.0,40898085.0,5.13,737040
2000-04-19,45.18232,45.18232,43.39358,43.92357,1712931.0,40898085.0,4.97,737040
2000-04-20,44.65232,44.78482,43.79108,44.45357,1368779.0,40898085.0,5.03,737040
2000-04-21,,,,,,40898085.0,5.03,737040
2000-04-24,44.25482,45.91106,43.92357,45.77857,1405760.0,40898085.0,5.17,737040
2000-04-25,45.91106,48.16356,45.91106,47.50106,1878687.0,40898085.0,5.37,737040
2000-04-26,47.36856,47.63356,45.64607,46.10982,1734064.0,40898085.0,5.21,737040
2000-04-27,44.78482,45.04982,43.19483,44.78482,1716045.0,40898085.0,5.06,737040
2000-04-28,44.91732,45.51357,43.52608,43.52608,1817083.0,40898085.0,4.92,737040
2000-05-01,43.79108,45.97732,43.45983,45.04982,1304722.0,40898085.0,5.09,737040
2000-05-02,44.78482,45.18232,44.32107,44.38732,1365005.0,40898085.0,5.02,737040
2000-05-03,44.45357,45.24857,43.32733,43.39358,1709535.0,40898085.0,4.91,737040
2000-05-04,43.52608,43.52608,42.33358,42.39983,1367553.0,40898085.0,4.79,737040
2000-05-05,42.33358,44.38732,42.00233,44.05607,1444911.0,40898085.0,4.98,737040
2000-05-08,44.25482,46.10982,44.05607,45.77857,1049249.0,40898085.0,5.17,737040
2000-05-09,46.10982,47.76606,45.97732,46.50731,1875196.0,40898085.0,5.26,737040
2000-05-10,45.71232,46.63981,45.64607,45.77857,1064344.0,40898085.0,5.17,737040
2000-05-11,46.24231,47.83231,46.24231,46.37482,1470195.0,40898085.0,5.24,737040
2000-05-12,46.63981,48.09731,46.24231,47.50106,1292081.0,40898085.0,5.37,737040
2000-05-15,47.50106,49.5548,47.50106,49.35605,1951706.0,40898085.0,5.58,737040
2000-05-16,49.9523,50.54855,48.8923,49.0248,2932276.0,40898085.0,5.54,737040
2000-05-17,48.56105,49.35605,48.22981,48.56105,1244345.0,40898085.0,5.49,737040
2000-05-18,48.7598,50.3498,48.7598,49.22355,2233594.0,40898085.0,5.56,737040
2000-05-19,48.4948,48.8923,46.17606,46.63981,2694539.0,40898085.0,5.27,737040
2000-05-22,47.30231,48.7598,46.83856,48.56105,1579252.0,40898085.0,5.49,737040
2000-05-23,49.6873,49.9523,48.7598,49.9523,2407651.0,40898085.0,5.65,737040
2000-05-24,49.9523,51.14479,49.9523,50.8798,2057084.0,40898085.0,5.75,737040
2000-05-25,50.3498,50.3498,48.22981,49.2898,1762083.0,40898085.0,5.57,737040
2000-05-26,49.22355,50.28355,49.1573,49.8198,1050570.0,40898085.0,5.63,737040
2000-05-29,,,,,,40898085.0,5.63,737040
2000-05-30,49.9523,49.9523,48.7598,49.48855,1256137.0,40898085.0,5.59,737040
2000-05-31,50.4823,50.4823,49.4223,49.75355,2054914.0,40898085.0,5.63,737523
2000-06-01,49.88605,51.93979,49.88605,50.81355,2289632.0,40898085.0,5.75,737523
2000-06-02,52.46979,52.73479,51.07854,51.54229,2922748.0,40898085.0,5.83,737523
2000-06-05,50.8798,51.27729,48.8923,49.6873,1496044.0,40898085.0,5.62,737523
2000-06-06,49.5548,49.75355,48.03106,49.62105,1247175.0,40898085.0,5.61,737523
2000-06-07,49.8198,50.4823,49.6873,49.8198,1682931.0,40898085.0,5.64,737523
2000-06-08,49.62105,49.8198,48.22981,48.7598,992834.0,40898085.0,5.52,737523
2000-06-09,49.1573,49.35605,46.77231,47.30231,962551.0,40898085.0,5.35,737523
2000-06-12,47.16981,48.42855,47.16981,47.86543,1027646.0,40898085.0,5.42,737523
2000-06-13,48.42855,48.69355,47.10356,48.4948,896136.0,40898085.0,5.49,737523
2000-06-14,48.09731,49.4223,48.09731,48.69355,1082552.0,40898085.0,5.51,737523
2000-06-15,47.69981,48.22981,45.51357,48.03106,2938314.0,40898085.0,5.43,737523
2000-06-16,47.16981,47.30231,45.24857,46.24231,3205390.0,40898085.0,5.23,737523
