date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,2.39062,2.39062,2.36719,2.36719,81600.0,1004465.0,4.25,13677.0
2000-01-04,2.36719,2.36719,2.35156,2.36719,73600.0,1004465.0,4.25,13677.0
2000-01-05,2.35156,2.35938,2.33594,2.35938,35200.0,1004465.0,4.24,13677.0
2000-01-06,2.35547,2.35938,2.34766,2.35938,54400.0,1004465.0,4.24,13677.0
2000-01-07,2.35938,2.39062,2.35156,2.39062,92800.0,1004465.0,4.29,13677.0
2000-01-10,2.39062,2.4375,2.39062,2.42969,219200.0,1004465.0,4.36,13677.0
2000-01-11,2.44531,2.5,2.44531,2.47656,100800.0,1004465.0,4.45,13677.0
2000-01-12,2.47656,2.47656,2.47656,2.47656,14400.0,1004465.0,4.45,13677.0
2000-01-13,2.49219,2.50391,2.49219,2.50391,51200.0,1004465.0,4.49,13677.0
2000-01-14,2.49609,2.49609,2.48438,2.49219,22400.0,1004465.0,4.47,13677.0
2000-01-17,,,,,,1004465.0,4.47,13677.0
2000-01-18,2.5,2.5,2.48438,2.48438,78400.0,1004465.0,4.46,13677.0
2000-01-19,2.47656,2.47656,2.45312,2.46094,300800.0,1004465.0,4.42,13677.0
2000-01-20,2.46875,2.47656,2.46875,2.47656,67200.0,1004465.0,4.45,13677.0
2000-01-21,2.46094,2.46094,2.35938,2.35938,588800.0,1004465.0,4.24,13677.0
2000-01-24,2.34375,2.34375,2.29688,2.29688,176000.0,1004465.0,4.12,13677.0
2000-01-25,2.30469,2.30469,2.24219,2.24219,198400.0,1004465.0,4.02,13677.0
2000-01-26,2.21094,2.21875,2.16406,2.21875,849600.0,1004465.0,3.98,13677.0
2000-01-27,2.23438,2.23438,2.1875,2.1875,24000.0,1004465.0,3.93,13677.0
2000-01-28,2.1875,2.20312,2.07812,2.09375,230400.0,1004465.0,3.76,13677.0
2000-01-31,2.14844,2.15625,2.13672,2.14453,617600.0,1004465.0,3.85,13677.0
2000-02-01,2.14453,2.17969,2.12891,2.16406,208000.0,1004465.0,3.88,13677.0
2000-02-02,2.15625,2.1875,2.14062,2.17188,150400.0,1004465.0,3.9,13677.0
2000-02-03,2.21875,2.32031,2.20312,2.28906,433600.0,1004465.0,4.11,13677.0
2000-02-04,2.28906,2.39453,2.28906,2.33594,320000.0,1004465.0,4.19,13677.0
2000-02-07,2.33594,2.51562,2.33594,2.46875,448000.0,1004465.0,4.43,13677.0
2000-02-08,2.48438,2.49609,2.43359,2.4375,419200.0,1004465.0,4.38,13677.0
2000-02-09,2.4375,2.4375,2.39062,2.39062,180800.0,1004465.0,4.29,13677.0
2000-02-10,2.375,2.37891,2.3125,2.3125,601600.0,1004465.0,4.15,13677.0
2000-02-11,2.3125,2.3125,2.29688,2.29688,27200.0,1004465.0,4.12,13677.0
2000-02-14,2.28125,2.28516,2.26953,2.26953,43200.0,1004465.0,4.07,13677.0
2000-02-15,2.25391,2.25391,2.13672,2.13672,214400.0,1004465.0,3.84,13677.0
2000-02-16,2.125,2.14062,2.0625,2.11719,249600.0,1004465.0,3.8,13677.0
2000-02-17,2.10156,2.24219,2.08594,2.24219,177600.0,1004465.0,4.02,13677.0
2000-02-18,2.24219,2.24219,2.21094,2.21094,136000.0,1004465.0,3.97,13677.0
2000-02-21,,,,,,1004465.0,3.97,13677.0
2000-02-22,2.19531,2.19531,2.125,2.125,115200.0,1004465.0,3.81,13677.0
2000-02-23,2.10938,2.10938,2.02344,2.02344,174400.0,1004465.0,3.63,13677.0
2000-02-24,2.00781,2.01562,1.98828,2.01562,64000.0,1004465.0,3.62,13677.0
2000-02-25,2.00781,2.00781,1.95312,1.95312,59200.0,1004465.0,3.51,13677.0
2000-02-28,1.95312,2.01953,1.95312,2.01953,76800.0,1004465.0,3.63,13677.0
2000-02-29,2.03125,2.0625,1.99219,2.0625,302400.0,1004465.0,3.7,13677.0
2000-03-01,2.0625,2.0625,2.03125,2.0625,132800.0,1004465.0,3.7,13677.0
2000-03-02,2.04688,2.04688,2.03516,2.03516,19200.0,1004465.0,3.65,13677.0
2000-03-03,2.05078,2.05859,2.04688,2.05859,150400.0,1004465.0,3.7,13677.0
2000-03-06,2.04688,2.05859,1.99609,1.99609,62400.0,1004465.0,3.58,13677.0
2000-03-07,1.98828,2.03906,1.98828,2.03906,60800.0,1004465.0,3.66,13677.0
2000-03-08,2.05469,2.0625,2.02344,2.02344,1332800.0,1004465.0,3.63,13677.0
2000-03-09,2.01562,2.05859,2.00781,2.05859,193600.0,1004465.0,3.7,13677.0
2000-03-10,2.05859,2.0625,2.05859,2.0625,244800.0,1004465.0,3.7,13677.0
2000-03-13,2.05859,2.05859,2.01562,2.02344,44800.0,1004465.0,3.63,13677.0
2000-03-14,2.02344,2.08594,2.02344,2.08594,652800.0,1004465.0,3.74,13677.0
2000-03-15,2.07812,2.13281,2.06641,2.13281,116800.0,1004465.0,3.83,13677.0
2000-03-16,2.14062,2.26562,2.14062,2.26562,100800.0,1004465.0,4.07,13677.0
2000-03-17,2.24219,2.30469,2.24219,2.30469,56000.0,1004465.0,4.14,13677.0
2000-03-20,2.29297,2.32031,2.28906,2.32031,51200.0,1004465.0,4.3,14121.0
2000-03-21,2.3125,2.32031,2.29688,2.29688,182400.0,1004465.0,4.26,14121.0
2000-03-22,2.28906,2.35547,2.28125,2.34375,192000.0,1004465.0,4.34,14121.0
2000-03-23,2.34375,2.375,2.34375,2.375,105600.0,1004465.0,4.4,14121.0
2000-03-24,2.375,2.4375,2.375,2.4375,521600.0,1004465.0,4.52,14121.0
2000-03-27,2.4375,2.49219,2.4375,2.44141,660800.0,1004465.0,4.52,14121.0
2000-03-28,2.44531,2.46875,2.4375,2.44531,411200.0,1004465.0,4.53,14121.0
2000-03-29,2.44531,2.44531,2.42188,2.43359,382400.0,1004465.0,4.51,14121.0
2000-03-30,2.42578,2.45312,2.42188,2.45312,132800.0,1004465.0,4.55,14121.0
2000-03-31,2.44141,2.44141,2.40234,2.41797,628800.0,1004465.0,4.48,14121.0
2000-04-03,2.41016,2.44141,2.41016,2.4375,38400.0,1004465.0,4.52,14121.0
2000-04-04,2.44141,2.44531,2.4375,2.4375,27200.0,1004465.0,4.52,14121.0
2000-04-05,2.4375,2.47656,2.42578,2.47656,260800.0,1004465.0,4.59,14121.0
2000-04-06,2.49219,2.5,2.44531,2.46094,148800.0,1004465.0,4.56,14121.0
2000-04-07,2.47266,2.47266,2.45312,2.47266,36800.0,1004465.0,4.58,14121.0
2000-04-10,2.46875,2.50781,2.46484,2.50781,81600.0,1004465.0,4.65,14121.0
2000-04-11,2.50781,2.53125,2.50391,2.51562,97600.0,1004465.0,4.66,14121.0
2000-04-12,2.5,2.5,2.46875,2.47656,150400.0,1004465.0,4.59,14121.0
2000-04-13,2.4375,2.45312,2.4375,2.4375,491200.0,1004465.0,4.52,14121.0
2000-04-14,2.4375,2.4375,2.375,2.40234,488000.0,1004465.0,4.45,14121.0
2000-04-17,2.40234,2.41797,2.375,2.41797,555200.0,1004465.0,4.48,14121.0
2000-04-18,2.41016,2.4375,2.38672,2.38672,190400.0,1004465.0,4.42,14121.0
2000-04-19,2.40234,2.41406,2.40234,2.40234,43200.0,1004465.0,4.45,14121.0
2000-04-20,2.40625,2.42188,2.39844,2.41797,52800.0,1004465.0,4.48,14121.0
2000-04-21,,,,,,1004465.0,4.48,14121.0
