date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,11.98438,12.03125,11.5,11.82812,772000.0,1570633.0,1.47,41400
2000-01-04,11.8125,11.8125,11.375,11.5,667600.0,1570633.0,1.43,41400
2000-01-05,11.5,11.71875,11.34375,11.51562,857600.0,1570633.0,1.43,41400
2000-01-06,11.125,12.0,10.40625,11.92188,3072000.0,1570633.0,1.48,41400
2000-01-07,11.92188,12.5,11.875,12.23438,2006000.0,1570633.0,1.52,41400
2000-01-10,12.17188,12.46875,11.95312,12.40625,1014800.0,1570633.0,1.54,41400
2000-01-11,12.3125,12.3125,11.59375,11.70312,769200.0,1570633.0,1.45,41400
2000-01-12,11.70312,11.96875,11.625,11.75,677600.0,1570633.0,1.46,41400
2000-01-13,11.8125,12.25,11.79688,11.95312,608400.0,1570633.0,1.48,41400
2000-01-14,12.01562,12.0625,11.67188,11.67188,443200.0,1570633.0,1.45,41400
2000-01-17,,,,,,1570633.0,1.45,41400
2000-01-18,11.54688,11.64062,11.375,11.5625,511200.0,1570633.0,1.43,41400
2000-01-19,11.5625,11.5625,11.26562,11.29688,1146800.0,1570633.0,1.4,41400
2000-01-20,11.35938,11.35938,10.96875,11.04688,572400.0,1570633.0,1.37,41400
2000-01-21,11.10938,11.25,10.57812,10.75,1079600.0,1570633.0,1.33,41400
2000-01-24,10.79688,10.8125,10.28125,10.42188,1034400.0,1570633.0,1.29,41400
2000-01-25,10.375,10.42188,10.04688,10.14062,1258800.0,1570633.0,1.26,41400
2000-01-26,10.20312,10.29688,10.0,10.17188,2245200.0,1570633.0,1.26,41400
2000-01-27,10.10938,10.10938,9.75,9.95312,1246800.0,1570633.0,1.23,41400
2000-01-28,10.125,10.15625,9.5,9.65625,1690000.0,1570633.0,1.2,41400
2000-01-31,9.59375,9.73438,9.4375,9.5625,1202800.0,1570633.0,1.19,41400
2000-02-01,9.375,9.5625,9.29688,9.3125,1048000.0,1570633.0,1.15,41400
2000-02-02,9.3125,9.45312,9.14062,9.14062,979600.0,1570633.0,1.13,41400
2000-02-03,9.26562,9.42188,9.14062,9.34375,2487600.0,1570633.0,1.16,41400
2000-02-04,9.34375,9.45312,9.34375,9.39062,1194000.0,1570633.0,1.16,41400
2000-02-07,9.40625,9.48438,9.09375,9.28125,1344800.0,1570633.0,1.15,41400
2000-02-08,9.34375,9.5,9.15625,9.23438,1170000.0,1570633.0,1.14,41400
2000-02-09,9.25,9.34375,9.14062,9.14062,909600.0,1570633.0,1.13,41400
2000-02-10,9.14062,9.23438,9.0625,9.15625,1580800.0,1570633.0,1.13,41400
2000-02-11,9.25,9.25,8.71875,8.76562,1278800.0,1570633.0,1.09,41400
2000-02-14,8.78125,8.96875,8.75,8.84375,1257200.0,1570633.0,1.1,41400
2000-02-15,8.84375,9.07812,8.84375,8.98438,1914800.0,1570633.0,1.11,41400
2000-02-16,9.25,9.26562,9.10938,9.26562,1792000.0,1570633.0,1.15,41400
2000-02-17,9.0,9.09375,8.90625,9.01562,1058800.0,1570633.0,1.12,41400
2000-02-18,9.15625,10.5,9.04688,10.1875,2434800.0,1570633.0,1.26,41400
2000-02-21,,,,,,1570633.0,1.26,41400
2000-02-22,10.125,10.17188,9.64062,10.17188,2058400.0,1570633.0,1.26,41400
2000-02-23,10.15625,10.15625,9.5625,9.5625,720000.0,1570633.0,1.19,41400
