date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,30.9375,31.0,29.5,29.5,1615200.0,3840617.0,1.45,115801
2000-01-04,29.5625,30.0,29.5625,29.875,456400.0,3840617.0,1.47,115801
2000-01-05,29.8125,31.0,29.6875,30.6875,1842300.0,3840617.0,1.51,115801
2000-01-06,30.6875,31.125,30.125,30.4375,366500.0,3840617.0,1.49,115801
2000-01-07,30.875,31.25,30.625,31.125,531300.0,3840617.0,1.53,115801
2000-01-10,30.9375,31.3125,30.4375,30.6875,257800.0,3840617.0,1.51,115801
2000-01-11,30.5625,31.5625,30.5625,31.5,1471100.0,3840617.0,1.54,115801
2000-01-12,31.3125,31.5,31.0625,31.3125,1518200.0,3840617.0,1.54,115801
2000-01-13,31.5625,32.0,31.3125,31.625,492700.0,3840617.0,1.55,115801
2000-01-14,31.625,31.625,30.875,31.1875,276700.0,3840617.0,1.53,115801
2000-01-17,,,,,,3840617.0,1.53,115801
2000-01-18,31.0,31.0,30.4375,30.5625,418900.0,3840617.0,1.5,115801
2000-01-19,30.625,31.125,30.5,30.875,512300.0,3840617.0,1.51,115801
2000-01-20,30.9375,31.125,30.3125,30.9375,391500.0,3840617.0,1.52,115801
2000-01-21,31.0,31.625,30.625,31.375,567300.0,3840617.0,1.54,115801
2000-01-24,31.5,32.0625,31.25,31.25,657300.0,3840617.0,1.53,115801
2000-01-25,31.3125,31.3125,30.5,30.6875,714500.0,3840617.0,1.51,115801
2000-01-26,30.875,30.875,30.0,30.4375,1105700.0,3840617.0,1.49,115801
2000-01-27,30.6875,30.6875,29.9375,30.0,572300.0,3840617.0,1.47,115801
2000-01-28,29.75,30.25,29.4375,29.5,514300.0,3840617.0,1.45,115801
2000-01-31,29.75,30.375,29.3125,30.0,982200.0,3840617.0,1.47,115801
2000-02-01,26.125,26.625,22.75,23.5,4026100.0,3840617.0,1.15,115801
2000-02-02,23.0,23.0,20.3125,21.375,6256700.0,3840617.0,1.05,115801
