date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,20.0,20.09375,18.46875,18.90625,6503000.0,23514996.0,3.46,391884
2000-01-04,18.75,19.09375,18.4375,18.75,5667000.0,23514996.0,3.44,391884
2000-01-05,18.8125,19.96875,18.78125,19.78125,5694000.0,23514996.0,3.62,391884
2000-01-06,19.6875,19.6875,18.09375,18.375,7203200.0,23514996.0,3.37,391884
2000-01-07,18.5,18.875,17.65625,18.8125,6967000.0,23514996.0,3.45,391884
2000-01-10,19.6875,19.96875,18.1875,18.78125,8786400.0,23514996.0,3.44,391884
2000-01-11,18.8125,19.4375,18.71875,18.84375,6508400.0,23514996.0,3.45,391884
2000-01-12,18.875,19.03125,18.3125,18.8125,4623800.0,23514996.0,3.45,391884
2000-01-13,18.8125,18.84375,18.28125,18.4375,5123000.0,23514996.0,3.38,391884
2000-01-14,18.40625,18.40625,17.3125,17.9375,13150200.0,23514996.0,3.29,391884
2000-01-17,,,,,,23514996.0,3.29,391884
2000-01-18,17.8125,18.21875,17.6875,18.0,5487000.0,23514996.0,3.3,391884
2000-01-19,17.96875,18.125,17.71875,17.90625,4270800.0,23514996.0,3.28,391884
2000-01-20,17.75,17.78125,16.3125,16.85938,9132000.0,23514996.0,3.06,391884
2000-01-21,17.0,17.46875,16.84375,17.25,7913600.0,23514996.0,3.16,391884
2000-01-24,17.375,17.59375,17.03125,17.21875,6917600.0,23514996.0,3.15,391884
2000-01-25,17.25,17.46875,16.96875,17.0,3447000.0,23514996.0,3.11,391884
2000-01-26,17.09375,17.4375,16.84375,17.03125,3412200.0,23514996.0,3.12,391884
2000-01-27,17.25,17.25,16.5,16.71875,2785400.0,23514996.0,3.06,391884
2000-01-28,16.8125,17.875,16.59375,17.40625,4434400.0,23514996.0,3.19,391884
2000-01-31,17.4375,17.5,17.15625,17.46875,3364800.0,23514996.0,3.2,391884
2000-02-01,17.40625,17.53125,17.03125,17.53125,3393400.0,23514996.0,3.21,391884
2000-02-02,17.75,19.0,17.65625,18.375,7380000.0,23514996.0,3.37,391884
2000-02-03,18.46875,19.46875,18.21875,18.875,4574200.0,23514996.0,3.46,391884
2000-02-04,18.75,19.25,18.15625,18.25,5162200.0,23514996.0,3.34,391884
2000-02-07,18.78125,18.78125,18.0625,18.21875,4836600.0,23514996.0,3.34,391884
2000-02-08,19.5,20.4375,18.75,20.0,15600200.0,23514996.0,3.66,391884
2000-02-09,20.0,20.0,19.40625,19.5,8177600.0,23514996.0,3.57,391884
2000-02-10,20.375,20.75,20.0,20.3125,9923200.0,23514996.0,3.72,391884
2000-02-11,20.34375,20.34375,19.78125,19.8125,4843200.0,23514996.0,3.63,391884
2000-02-14,19.84375,20.03125,19.40625,19.9375,4464000.0,23514996.0,3.65,391884
2000-02-15,19.96875,19.96875,19.5,19.6875,4554000.0,23514996.0,3.61,391884
2000-02-16,19.4375,19.5625,19.28125,19.40625,5016200.0,23514996.0,3.56,391884
2000-02-17,19.4375,19.59375,19.09375,19.125,4763000.0,23514996.0,3.5,391884
2000-02-18,19.0625,19.21875,18.40625,18.5625,3720200.0,23514996.0,3.4,391884
2000-02-21,,,,,,23514996.0,3.4,391884
2000-02-22,18.6875,19.21875,18.5,19.09375,3887000.0,23514996.0,3.5,391884
2000-02-23,19.03125,19.96875,18.90625,19.4375,5866800.0,23514996.0,3.56,391884
2000-02-24,19.46875,19.46875,18.34375,18.5,6994800.0,23514996.0,3.39,391884
2000-02-25,18.25,18.875,17.875,18.375,4431400.0,23514996.0,3.37,391884
2000-02-28,18.5,18.5,17.75,17.9375,3982400.0,23514996.0,3.29,391884
2000-02-29,18.0,18.03125,17.375,17.5,7560800.0,23514996.0,3.21,391884
2000-03-01,17.59375,17.625,16.34375,16.71875,7675800.0,23514996.0,3.06,391884
2000-03-02,16.6875,16.71875,15.1875,15.3125,13191400.0,23514996.0,2.81,391884
2000-03-03,15.3125,15.59375,15.0,15.21875,11975400.0,23514996.0,2.79,391884
2000-03-06,15.5625,15.71875,15.125,15.46094,12381400.0,23514996.0,2.83,391884
2000-03-07,15.75,15.9375,13.875,14.0,12175200.0,23514996.0,2.57,391884
2000-03-08,15.0,15.75,14.71875,15.5625,7896400.0,23514996.0,2.85,391884
