date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,28.85513,29.53334,28.36188,29.47169,8402230.0,61183613.0,2.6,2095320
2000-01-04,29.595,31.44469,29.595,31.19806,16051191.0,61183613.0,2.76,2095320
2000-01-05,31.19806,32.67781,31.19806,32.49284,19823822.0,61183613.0,2.84,2095320
2000-01-06,32.49284,32.67781,31.19806,31.19806,7903193.0,61183613.0,2.75,2095320
2000-01-07,31.19806,31.69131,30.39653,30.70481,6773543.0,61183613.0,2.71,2095320
2000-01-10,33.541,35.45234,33.541,35.39069,33965839.0,61183613.0,3.12,2095320
2000-01-11,35.39069,36.25388,34.77412,35.76062,20134820.0,61183613.0,3.15,2095320
2000-01-12,35.45234,35.45234,32.86278,33.23272,13100963.0,61183613.0,2.93,2095320
2000-01-13,33.35603,34.5275,33.35603,34.34253,8732387.0,61183613.0,3.03,2095320
2000-01-14,34.34253,34.5275,32.9861,33.10941,8151546.0,61183613.0,2.92,2095320
2000-01-17,,,,,,61183613.0,2.92,2095320
2000-01-18,33.10941,34.34253,32.61616,34.03425,8101774.0,61183613.0,3.0,2095320
2000-01-19,34.03425,34.46584,33.60266,34.28088,6551343.0,61183613.0,3.02,2095320
2000-01-20,34.28088,34.9591,32.9861,33.17106,7212063.0,61183613.0,2.92,2095320
2000-01-21,33.17106,33.17106,32.24622,32.30788,8284136.0,61183613.0,2.85,2095320
2000-01-24,32.30788,33.541,31.93794,32.86278,8343031.0,61183613.0,2.9,2095320
2000-01-25,36.00725,37.487,36.00725,36.99375,29911201.0,61183613.0,3.26,2095320
2000-01-26,36.93209,36.93209,35.88394,36.13056,10400710.0,61183613.0,3.18,2095320
2000-01-27,36.13056,37.11706,36.13056,36.62381,9818449.0,61183613.0,3.23,2095320
2000-01-28,36.62381,36.99375,35.94559,36.25388,7500963.0,61183613.0,3.2,2095320
2000-01-31,35.94559,35.94559,35.32903,35.82228,7909072.0,61183613.0,3.16,2095320
2000-02-01,35.82228,35.94559,35.45234,35.514,7237202.0,61183613.0,3.13,2095320
2000-02-02,35.514,37.487,35.32903,36.74712,9411353.0,61183613.0,3.24,2095320
2000-02-03,37.0554,37.98025,37.0554,37.36369,10908160.0,61183613.0,3.29,2095320
2000-02-04,37.36369,37.73362,36.5005,37.61031,6272985.0,61183613.0,3.31,2095320
2000-02-07,37.61031,37.91859,37.0554,37.487,6153573.0,61183613.0,3.3,2095320
2000-02-08,37.42534,37.42534,36.5005,37.0554,5780233.0,61183613.0,3.27,2095320
2000-02-09,37.0554,38.4735,36.62381,37.17872,6158338.0,61183613.0,3.28,2095320
2000-02-10,37.17872,37.36369,36.37719,36.43884,5675925.0,61183613.0,3.21,2095320
2000-02-11,36.43884,38.10356,36.31553,37.36369,7247035.0,61183613.0,3.29,2095320
2000-02-14,36.87044,36.87044,36.13056,36.5005,5201622.0,61183613.0,3.22,2095320
2000-02-15,36.5005,36.68547,34.89744,36.37719,7082717.0,61183613.0,3.21,2095320
2000-02-16,36.37719,36.74712,36.0689,36.43884,4475215.0,61183613.0,3.21,2095320
2000-02-17,36.37719,36.37719,35.20572,36.00725,4756310.0,61183613.0,3.13,2069930
2000-02-18,35.88394,35.88394,34.83578,35.02075,6493867.0,61183613.0,3.05,2069930
2000-02-21,,,,,,61183613.0,3.05,2069930
2000-02-22,34.9591,34.9591,32.18456,32.92444,12744146.0,61183613.0,2.87,2069930
2000-02-23,32.92444,34.15756,32.18456,33.66431,8371718.0,61183613.0,2.93,2069930
2000-02-24,33.60266,33.60266,31.99959,32.73947,8338672.0,61183613.0,2.85,2069930
2000-02-25,32.61616,32.61616,30.5815,30.5815,8440649.0,61183613.0,2.66,2069930
2000-02-28,31.568,32.49284,31.568,32.30788,7943639.0,61183613.0,2.81,2069930
2000-02-29,32.30788,33.541,31.81462,33.541,5506437.0,61183613.0,2.88,2069930
2000-03-01,33.541,34.28088,32.73947,34.21922,7250380.0,61183613.0,2.98,2069930
2000-03-02,34.15756,34.15756,33.35603,34.03425,6588241.0,61183613.0,2.96,2069930
2000-03-03,34.40419,36.00725,34.40419,36.00725,14559757.0,61183613.0,3.1,2069930
2000-03-06,36.00725,36.25388,35.08241,35.514,7341004.0,61183613.0,3.09,2069930
2000-03-07,35.514,35.88394,34.9591,35.514,7588140.0,61183613.0,3.09,2069930
2000-03-08,35.45234,35.45234,34.40419,34.46584,6294577.0,61183613.0,3.0,2069930
2000-03-09,34.46584,35.76062,34.15756,35.76062,5623011.0,61183613.0,3.11,2069930
2000-03-10,35.26738,35.26738,34.21922,34.65081,7061936.0,61183613.0,3.02,2069930
2000-03-13,34.65081,35.02075,32.5545,34.46584,5247440.0,61183613.0,3.0,2069930
2000-03-14,34.28088,34.28088,33.35603,33.66431,5589559.0,61183613.0,2.93,2069930
2000-03-15,33.66431,34.46584,33.17106,34.34253,6642980.0,61183613.0,2.99,2069930
2000-03-16,34.34253,35.02075,33.29438,34.83578,8335124.0,61183613.0,3.03,2069930
2000-03-17,34.83578,36.43884,34.09591,36.31553,8753675.0,61183613.0,3.16,2069930
2000-03-20,37.17872,38.96675,37.17872,38.90509,16985606.0,61183613.0,3.39,2069930
2000-03-21,38.90509,39.52166,38.10356,38.65847,13362088.0,61183613.0,3.37,2069930
2000-03-22,39.21338,40.87809,39.21338,39.95325,13725900.0,61183613.0,3.44,2069930
2000-03-23,39.95325,41.37135,39.27503,41.00141,8163811.0,61183613.0,3.57,2069930
2000-03-24,41.00141,41.18637,40.50816,40.87809,6630411.0,61183613.0,3.56,2069930
2000-03-27,40.87809,41.61797,39.46,41.18637,5797669.0,61183613.0,3.59,2069930
2000-03-28,41.18637,41.92625,40.07656,40.38485,7592600.0,61183613.0,3.52,2069930
2000-03-29,40.38485,40.63147,39.70663,40.26153,5162494.0,61183613.0,3.51,2069930
2000-03-30,40.26153,40.4465,39.21338,39.70663,5418652.0,61183613.0,3.46,2069930
2000-03-31,39.70663,40.93975,39.70663,40.69313,5358236.0,61183613.0,3.54,2069930
2000-04-03,40.69313,41.30969,40.50816,41.24803,4870654.0,61183613.0,3.59,2069930
2000-04-04,41.24803,41.37135,37.85694,40.56981,7049975.0,61183613.0,3.53,2069930
2000-04-05,40.19987,40.19987,38.72012,39.46,5140193.0,61183613.0,3.44,2069930
2000-04-06,39.46,40.69313,39.46,39.89159,3615509.0,61183613.0,3.47,2069930
2000-04-07,39.95325,40.81644,39.95325,40.4465,3298023.0,61183613.0,3.52,2069930
2000-04-10,40.4465,40.81644,39.70663,40.75478,3665585.0,61183613.0,3.55,2069930
2000-04-11,41.18637,41.92625,41.18637,41.92625,6923365.0,61183613.0,3.65,2069930
2000-04-12,41.92625,43.03606,39.46,39.52166,8414293.0,61183613.0,3.44,2069930
2000-04-13,39.52166,40.19987,38.72012,38.72012,5078459.0,61183613.0,3.39,2069930
2000-04-14,38.72012,38.96675,37.17872,38.35019,8248251.0,61183613.0,3.34,2069930
2000-04-17,38.22688,38.22688,36.56216,38.22688,6537253.0,61183613.0,3.33,2069930
2000-04-18,38.22688,39.21338,37.487,38.96675,4275520.0,61183613.0,3.39,2069930
2000-04-19,39.46,40.93975,39.46,40.38485,8579219.0,61183613.0,3.52,2069930
2000-04-20,40.38485,41.92625,40.26153,41.67963,5438824.0,61183613.0,3.63,2069930
2000-04-21,,,,,,61183613.0,3.63,2069930
2000-04-24,40.87809,40.87809,39.58331,39.70663,3844197.0,61183613.0,3.46,2069930
2000-04-25,39.70663,40.01491,39.15172,39.95325,3749417.0,61183613.0,3.48,2069930
2000-04-26,40.19987,41.92625,40.19987,41.80294,6002636.0,61183613.0,3.64,2069930
2000-04-27,41.67963,41.67963,40.32319,41.06306,4674810.0,61183613.0,3.58,2069930
2000-04-28,41.67963,43.03606,41.67963,43.03606,11731272.0,61183613.0,3.72,2069930
2000-05-01,43.03606,43.28269,41.433,41.433,8919209.0,61183613.0,3.61,2069930
2000-05-02,41.433,42.48116,39.76828,42.4195,9296604.0,61183613.0,3.65,2069930
2000-05-03,41.433,41.433,39.09006,40.69313,6513735.0,61183613.0,3.52,2069930
2000-05-04,40.69313,41.37135,38.84344,39.15172,7127420.0,61183613.0,3.41,2069930
2000-05-05,39.15172,39.89159,38.72012,39.0284,3471363.0,61183613.0,3.4,2069930
2000-05-08,39.0284,40.56981,39.0284,40.01491,3582261.0,61183613.0,3.48,2069930
2000-05-09,40.01491,41.06306,39.21338,40.19987,3407096.0,61183613.0,3.5,2069930
2000-05-10,40.19987,41.18637,39.95325,40.50816,6369894.0,61183613.0,3.53,2069930
2000-05-11,40.50816,40.81644,40.01491,40.56981,3334516.0,61183613.0,3.53,2069930
