date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,12.46748,12.49458,11.89831,11.92541,684882.0,2196853.0,2.1,30590
2000-01-04,11.88476,11.91186,11.73569,11.77634,347284.0,2196853.0,2.08,30590
2000-01-05,11.77634,12.11513,11.77634,11.99317,665050.0,2196853.0,2.11,30590
2000-01-06,11.89831,12.08803,11.88476,11.97962,1022480.0,2196853.0,2.11,30590
2000-01-07,11.97962,12.25065,11.89831,11.96607,1384061.0,2196853.0,2.11,30590
2000-01-10,12.19644,12.52168,12.12869,12.41327,857832.0,2196853.0,2.19,30590
2000-01-11,12.38617,12.79272,12.16934,12.53523,1138242.0,2196853.0,2.21,30590
2000-01-12,12.54879,12.95533,12.54879,12.79272,2153804.0,2196853.0,2.25,30590
2000-01-13,12.81982,13.11795,12.81982,12.90113,1583761.0,2196853.0,2.27,30590
2000-01-14,12.95533,13.00954,12.79272,12.92823,1252619.0,2196853.0,2.28,30590
2000-01-17,,,,,,2196853.0,2.28,30590
2000-01-18,12.96889,12.98244,12.6843,12.72496,816785.0,2196853.0,2.24,30590
2000-01-19,12.7114,12.7114,12.33196,12.35906,1357773.0,2196853.0,2.18,30590
2000-01-20,12.38617,12.38617,11.99317,12.04738,808022.0,2196853.0,2.12,30590
2000-01-21,12.07448,12.11513,11.8441,11.96607,907642.0,2196853.0,2.11,30590
2000-01-24,12.16934,12.35906,11.70859,11.87121,1466155.0,2196853.0,2.09,30590
2000-01-25,11.8441,12.08803,11.43755,11.54597,806178.0,2196853.0,2.04,30590
2000-01-26,11.54597,11.92541,11.49176,11.87121,936236.0,2196853.0,2.09,30590
2000-01-27,11.8441,12.16934,11.817,11.97962,459355.0,2196853.0,2.11,30590
2000-01-28,11.97962,11.97962,11.58662,11.62728,373111.0,2196853.0,2.05,30590
2000-01-31,11.68148,11.817,11.62728,11.65438,527152.0,2196853.0,2.05,30590
2000-02-01,11.65438,11.7899,11.61372,11.69503,769743.0,2196853.0,2.06,30590
2000-02-02,11.65438,11.70859,11.58662,11.61372,558513.0,2196853.0,2.05,30590
2000-02-03,11.64083,11.73569,11.54597,11.65438,598176.0,2196853.0,2.05,30590
2000-02-04,11.64083,11.64083,11.35625,11.3969,432606.0,2196853.0,2.01,30590
2000-02-07,11.43755,11.54597,11.30204,11.41045,1214340.0,2196853.0,2.01,30590
2000-02-08,11.41045,11.60017,11.18007,11.24783,793264.0,2196853.0,1.98,30590
2000-02-09,11.19363,11.3698,10.89549,10.9768,641068.0,2196853.0,1.93,30590
2000-02-10,10.84128,10.9768,10.73287,10.85483,629538.0,2196853.0,1.91,30590
2000-02-11,10.90904,10.9497,10.67866,10.67866,420614.0,2196853.0,1.88,30590
2000-02-14,10.67866,10.81418,10.5296,10.80063,457049.0,2196853.0,1.9,30590
2000-02-15,10.80063,11.19363,10.75997,11.05811,778967.0,2196853.0,1.95,30590
2000-02-16,11.05811,11.15297,10.77353,10.84128,646602.0,2196853.0,1.91,30590
2000-02-17,10.78708,11.0039,10.63801,10.99035,647986.0,2196853.0,1.94,30590
2000-02-18,10.93614,10.93614,10.54315,10.66511,699179.0,2196853.0,1.88,30590
2000-02-21,,,,,,2196853.0,1.88,30590
2000-02-22,10.59735,10.78708,10.57025,10.78708,323762.0,2196853.0,1.9,30590
2000-02-23,10.78708,10.78708,10.27212,10.44829,745299.0,2196853.0,1.84,30590
2000-02-24,10.47539,10.54315,10.38053,10.51604,968520.0,2196853.0,1.85,30590
2000-02-25,10.51604,10.54315,10.05529,10.12305,847224.0,2196853.0,1.78,30590
2000-02-28,10.12305,10.38053,10.00108,10.19081,929318.0,2196853.0,1.8,30590
2000-02-29,10.21791,10.47539,10.19081,10.47539,689494.0,2196853.0,1.85,30590
2000-03-01,10.62446,10.78708,10.35343,10.54315,995731.0,2196853.0,1.86,30590
2000-03-02,10.54315,10.65156,10.42118,10.44829,593103.0,2196853.0,1.84,30590
2000-03-03,10.46184,10.86839,10.32632,10.67866,521617.0,2196853.0,1.88,30590
2000-03-06,10.69222,10.81418,10.35343,10.40763,529919.0,2196853.0,1.83,30590
2000-03-07,10.43474,10.65156,10.1637,10.17725,712093.0,2196853.0,1.79,30590
2000-03-08,10.1366,10.48894,9.98753,10.46184,719933.0,2196853.0,1.84,30590
2000-03-09,10.62446,10.77353,10.43474,10.61091,713938.0,2196853.0,1.87,30590
2000-03-10,10.54315,10.78708,10.27212,10.43474,1171909.0,2196853.0,1.84,30590
2000-03-13,10.40763,10.48894,10.28567,10.46184,830160.0,2196853.0,1.84,30590
2000-03-14,10.40763,10.67866,10.35343,10.66511,523462.0,2196853.0,1.88,30590
2000-03-15,10.62446,11.47821,10.62446,11.3969,1154845.0,2196853.0,2.01,30590
2000-03-16,11.41045,12.30486,11.28849,12.16934,900262.0,2196853.0,2.15,30590
2000-03-17,11.92541,11.99317,11.41045,11.43755,979589.0,2196853.0,2.02,30590
2000-03-20,11.49176,11.89831,11.45111,11.54597,734692.0,2196853.0,2.04,30590
2000-03-21,11.57307,11.95251,11.57307,11.74924,886426.0,2196853.0,2.07,30590
2000-03-22,11.70859,11.7899,11.32914,11.49176,492562.0,2196853.0,2.03,30590
2000-03-23,11.27493,11.61372,11.22073,11.60017,427071.0,2196853.0,2.09,31217
2000-03-24,11.55952,11.73569,11.54597,11.60017,262884.0,2196853.0,2.09,31217
2000-03-27,11.70859,11.70859,11.24783,11.41045,525768.0,2196853.0,2.05,31217
2000-03-28,11.41045,11.92541,11.41045,11.92541,939003.0,2196853.0,2.15,31217
2000-03-29,11.89831,12.10158,11.87121,12.02027,587569.0,2196853.0,2.16,31217
2000-03-30,12.07448,12.38617,12.04738,12.27775,455666.0,2196853.0,2.21,31217
2000-03-31,12.35906,12.46748,12.22355,12.25065,693645.0,2196853.0,2.2,31217
2000-04-03,12.25065,12.50813,12.25065,12.48103,481032.0,2196853.0,2.25,31217
2000-04-04,12.44037,12.6572,12.35906,12.49458,888732.0,2196853.0,2.25,31217
2000-04-05,12.41327,12.63009,12.34551,12.37261,1548710.0,2196853.0,2.23,31217
