date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,182.40939,185.27367,176.37933,179.69586,3421109.0,44371800.0,4.88,609094
2000-01-04,173.06279,175.77632,165.22371,166.27898,4138266.0,44371800.0,4.51,609094
2000-01-05,165.22371,165.67596,157.68613,161.90718,4684611.0,44371800.0,4.39,609094
2000-01-06,161.00267,161.60568,142.30948,143.51549,4776899.0,44371800.0,4.61,709158
2000-01-07,148.33954,155.72636,147.05815,155.34949,6554244.0,44371800.0,4.91,709158
2000-01-10,159.6459,173.21355,158.4399,168.54025,5134690.0,44371800.0,5.32,709158
2000-01-11,162.96243,169.89702,159.72128,160.09816,3475669.0,44371800.0,5.06,709158
2000-01-12,162.66093,167.56036,160.09816,161.37955,3480561.0,44371800.0,5.1,709158
2000-01-13,164.46996,169.44476,161.90718,167.10811,2550720.0,44371800.0,5.32,709158
2000-01-14,173.6658,185.87668,173.6658,182.10789,5250692.0,44371800.0,5.72,709158
2000-01-17,,,,,,44371800.0,5.72,709158
2000-01-18,173.06279,177.66072,172.00754,173.6658,6882599.0,44371800.0,5.5,709158
2000-01-19,173.3643,175.39944,168.84175,169.74626,3470694.0,44371800.0,5.36,709158
2000-01-20,170.80151,175.47482,169.29401,170.04776,3801121.0,44371800.0,5.52,709158
2000-01-21,177.58534,178.11298,172.91205,174.11806,3059089.0,44371800.0,5.5,709158
2000-01-24,176.68083,177.81146,167.93724,167.93724,2647319.0,44371800.0,5.31,709158
2000-01-25,169.29401,171.63066,165.60059,171.40453,3092422.0,44371800.0,5.42,709158
2000-01-26,171.10303,176.07782,164.3192,168.23874,3329567.0,44371800.0,5.32,709158
2000-01-27,168.84175,169.5955,163.7162,164.0177,3554358.0,44371800.0,5.18,709158
2000-01-28,167.03273,169.44476,150.75156,154.6711,4720764.0,44371800.0,4.89,709158
2000-01-31,154.97261,164.92221,152.33446,164.0177,4248298.0,44371800.0,5.2,709158
2000-02-01,166.12822,168.23874,160.62579,165.07297,3473098.0,44371800.0,5.22,709158
2000-02-02,165.22371,178.0376,165.14833,174.41956,4112644.0,44371800.0,5.51,709158
2000-02-03,176.22858,184.44453,176.22858,184.21841,4438097.0,44371800.0,5.81,709158
2000-02-04,184.44453,190.02234,181.35413,188.13795,4362890.0,44371800.0,5.94,709158
2000-02-07,186.47969,191.83136,184.74603,191.60524,2049647.0,44371800.0,6.05,709158
2000-02-08,192.96201,194.62027,188.81633,192.81125,3258756.0,44371800.0,6.11,709158
2000-02-09,192.96201,192.96201,183.46465,185.19829,3167131.0,44371800.0,5.85,709158
2000-02-10,185.4998,189.8716,185.27367,187.27113,3327163.0,44371800.0,5.92,709158
2000-02-11,186.32893,187.23344,179.09285,182.40939,3018045.0,44371800.0,5.76,709158
2000-02-14,184.06766,184.06766,176.4547,177.58534,3015060.0,44371800.0,5.61,709158
2000-02-15,178.86673,180.82649,172.53516,179.62048,3595651.0,44371800.0,5.67,709158
2000-02-16,179.62048,182.10789,177.43459,178.3391,2499145.0,44371800.0,5.63,709158
2000-02-17,175.47482,179.24361,172.45979,177.58534,3399550.0,44371800.0,5.61,709158
2000-02-18,177.43459,178.48985,174.41956,174.79643,2545247.0,44371800.0,5.52,709158
2000-02-21,,,,,,44371800.0,5.52,709158
2000-02-22,176.07782,191.00223,174.34418,189.04247,4098216.0,44371800.0,5.97,709158
2000-02-23,185.57518,195.1479,182.63551,193.86652,4036359.0,44371800.0,6.12,709158
2000-02-24,192.66049,198.69055,190.02234,198.08755,4348877.0,44371800.0,6.26,709158
2000-02-25,195.37402,197.18304,190.54997,192.0575,2856272.0,44371800.0,6.07,709158
2000-02-28,193.18813,195.07253,186.55505,191.15298,2821447.0,44371800.0,6.04,709158
2000-02-29,192.96201,211.35368,192.58511,207.43414,5707984.0,44371800.0,6.49,709158
2000-03-01,206.83115,207.05727,198.69055,205.17288,3833459.0,44371800.0,6.48,709158
2000-03-02,205.02213,211.05219,200.65033,210.0723,4043988.0,44371800.0,6.64,709158
2000-03-03,211.6552,217.60988,210.44919,211.42906,3166468.0,44371800.0,6.68,709158
2000-03-06,212.86121,221.75555,212.86121,217.83601,2757683.0,44371800.0,6.88,709158
