date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,6.16406,6.19531,5.96875,6.01562,8014400.0,15047185.0,4.36,179371
2000-01-04,5.875,5.91406,5.67188,5.6875,9810400.0,15047185.0,4.12,179371
2000-01-05,5.71875,6.04688,5.71875,6.01562,6542400.0,15047185.0,4.36,179371
2000-01-06,5.98438,5.98438,5.82031,5.98438,4891200.0,15047185.0,4.33,179371
2000-01-07,5.96094,6.0,5.875,5.98438,3993600.0,15047185.0,4.33,179371
2000-01-10,6.01562,6.11719,6.0,6.08594,3946400.0,15047185.0,4.41,179371
2000-01-11,6.17188,6.53125,6.15625,6.39062,10976000.0,15047185.0,4.63,179371
2000-01-12,6.35938,6.375,6.14062,6.17188,10050400.0,15047185.0,4.47,179371
2000-01-13,6.13281,6.30469,6.05469,6.25,5144800.0,15047185.0,4.52,179371
2000-01-14,6.32812,6.48438,6.29688,6.41406,7680800.0,15047185.0,4.64,179371
2000-01-17,,,,,,15047185.0,4.64,179371
2000-01-18,6.34375,6.45312,6.25781,6.32812,8356000.0,15047185.0,4.58,179371
2000-01-19,6.46875,6.6875,6.42969,6.60156,10299200.0,15047185.0,4.78,179371
2000-01-20,6.65625,6.67188,6.40625,6.44531,5103200.0,15047185.0,4.67,179371
2000-01-21,6.44531,6.44531,6.3125,6.33594,10265600.0,15047185.0,4.59,179371
2000-01-24,6.20312,6.28125,6.15625,6.21094,5733600.0,15047185.0,4.5,179371
2000-01-25,6.19531,6.26562,6.0625,6.10938,3823200.0,15047185.0,4.33,175537
2000-01-26,5.76562,6.21875,5.76562,6.1875,12886400.0,15047185.0,4.38,175537
2000-01-27,6.0,6.07812,5.79688,5.90625,6304000.0,15047185.0,4.18,175537
2000-01-28,5.875,5.875,5.75,5.85938,3556000.0,15047185.0,4.15,175537
2000-01-31,5.75,5.77344,5.67969,5.6875,4627200.0,15047185.0,4.03,175537
2000-02-01,5.67969,5.89062,5.65625,5.83594,5971200.0,15047185.0,4.13,175537
2000-02-02,5.82812,6.0625,5.77344,5.92969,5572800.0,15047185.0,4.2,175537
2000-02-03,5.91406,5.98438,5.82031,5.98438,3973600.0,15047185.0,4.24,175537
2000-02-04,5.98438,5.98438,5.82812,5.83594,12485600.0,15047185.0,4.13,175537
2000-02-07,5.82812,5.82812,5.58594,5.65625,6455200.0,15047185.0,4.01,175537
2000-02-08,5.625,5.625,4.51562,4.625,65707200.0,15047185.0,3.27,175537
2000-02-09,4.5625,4.5625,4.04688,4.21875,62571200.0,15047185.0,2.99,175537
2000-02-10,4.17188,4.35156,4.10938,4.21875,25032800.0,15047185.0,2.98,175537
2000-02-11,4.26562,4.3125,4.14062,4.25,12644800.0,15047185.0,3.01,175537
2000-02-14,4.1875,4.25781,4.01562,4.03906,17859200.0,15047185.0,2.86,175537
2000-02-15,4.00781,4.01562,3.78125,3.80469,30056000.0,15047185.0,2.7,175537
2000-02-16,3.80469,3.84375,3.65625,3.6875,22678400.0,15047185.0,2.62,175537
2000-02-17,3.66406,3.73438,3.60156,3.625,14977600.0,15047185.0,2.57,175537
2000-02-18,3.60938,3.64062,3.42188,3.5,26087200.0,15047185.0,2.48,175537
2000-02-21,,,,,,15047185.0,2.48,175537
2000-02-22,3.57812,3.59375,3.375,3.375,12847200.0,15047185.0,2.5,175537
2000-02-23,3.53125,3.5625,3.49219,3.50781,12624800.0,15047185.0,2.49,175537
2000-02-24,3.5,3.50781,3.32812,3.38281,16156800.0,15047185.0,2.4,175537
2000-02-25,3.375,3.38281,3.3125,3.32031,14830400.0,15047185.0,2.35,175537
2000-02-28,3.36719,3.53125,3.35156,3.48438,16385600.0,15047185.0,2.47,175537
2000-02-29,3.48438,3.64062,3.48438,3.55469,12575200.0,15047185.0,2.52,175537
2000-03-01,3.55469,3.58594,3.49219,3.51562,9884800.0,15047185.0,2.49,175537
2000-03-02,3.54688,3.74219,3.51562,3.67969,11260800.0,15047185.0,2.61,175537
2000-03-03,3.75781,3.78125,3.64062,3.67188,6912800.0,15047185.0,2.6,175537
2000-03-06,3.6875,3.70312,3.52344,3.5625,7684800.0,15047185.0,2.52,175537
2000-03-07,3.59375,3.60156,3.46094,3.48438,9532000.0,15047185.0,2.47,175537
2000-03-08,3.40625,3.45312,3.375,3.40625,10000000.0,15047185.0,2.41,175537
2000-03-09,3.39062,3.40625,3.22656,3.34375,14059200.0,15047185.0,2.37,175537
2000-03-10,3.36719,3.42969,3.35156,3.35938,12566400.0,15047185.0,2.38,175537
2000-03-13,3.39062,3.65625,3.3125,3.59375,20965600.0,15047185.0,2.55,175537
2000-03-14,3.625,3.76562,3.53125,3.60938,18244000.0,15047185.0,2.56,175537
2000-03-15,3.57812,4.1875,3.57031,4.125,25912800.0,15047185.0,2.92,175537
2000-03-16,4.11719,4.75,3.92188,4.46875,17427200.0,15047185.0,3.18,175537
2000-03-17,4.32812,4.51562,4.01562,4.25,30021600.0,15047185.0,2.85,175537
2000-03-20,4.03906,4.17188,4.03906,4.125,14386400.0,15047185.0,2.92,175537
2000-03-21,4.14062,4.17969,4.03125,4.14062,13809600.0,15047185.0,2.93,175537
2000-03-22,4.28125,4.3125,4.17969,4.21875,11780000.0,15047185.0,2.99,175537
2000-03-23,4.20312,4.32812,4.15625,4.25,12538400.0,15047185.0,3.01,175537
2000-03-24,4.25,4.3125,4.21094,4.23438,7305600.0,15047185.0,3.0,175537
2000-03-27,4.5,4.53125,4.375,4.49219,16704800.0,15047185.0,3.18,175537
2000-03-28,4.52344,4.60156,4.46875,4.60156,9060800.0,15047185.0,3.26,175537
2000-03-29,4.60156,4.90625,4.60156,4.875,17080800.0,15047185.0,3.45,175537
2000-03-30,4.88281,4.89062,4.71094,4.83594,13088800.0,15047185.0,3.43,175537
2000-03-31,4.84375,5.0,4.80469,4.95312,15036800.0,15047185.0,3.51,175537
2000-04-03,5.125,5.125,5.0,5.0,14220800.0,15047185.0,3.54,175537
2000-04-04,5.0,5.01562,4.54688,4.86719,12149600.0,15047185.0,3.45,175537
2000-04-05,4.9375,5.0625,4.85938,4.89844,5654400.0,15047185.0,3.47,175537
2000-04-06,4.91406,5.21875,4.91406,5.19531,11058400.0,15047185.0,3.68,175537
2000-04-07,5.3125,5.36719,5.22656,5.36719,12285600.0,15047185.0,3.8,175537
2000-04-10,5.35156,5.39844,5.25,5.375,6696800.0,15047185.0,3.81,175537
2000-04-11,5.48438,5.71875,5.48438,5.64062,18799200.0,15047185.0,4.0,175537
2000-04-12,5.63281,5.66406,5.49219,5.55469,9212800.0,15047185.0,3.94,175537
2000-04-13,5.5625,5.64844,5.46875,5.49219,9680000.0,15047185.0,3.89,175537
2000-04-14,5.3125,5.40625,5.10938,5.32812,17863200.0,15047185.0,3.77,175537
2000-04-17,5.35938,5.375,5.10938,5.25,12481600.0,15047185.0,3.72,175537
2000-04-18,5.22656,5.4375,5.11719,5.29688,11352000.0,15047185.0,3.75,175537
2000-04-19,5.42188,5.73438,5.375,5.50781,9402400.0,15047185.0,3.85,173018
2000-04-20,5.51562,5.54688,5.46875,5.49219,6341600.0,15047185.0,3.84,173018
2000-04-21,,,,,,15047185.0,3.84,173018
2000-04-24,5.50781,5.67188,5.38281,5.39844,7215200.0,15047185.0,3.77,173018
2000-04-25,5.39062,5.72656,5.35938,5.70312,6885600.0,15047185.0,3.98,173018
2000-04-26,5.65625,5.65625,5.39844,5.48438,4333600.0,15047185.0,3.83,173018
2000-04-27,5.375,5.44531,5.32812,5.41406,3830400.0,15047185.0,3.78,173018
2000-04-28,5.5625,5.61719,5.39062,5.42969,7720000.0,15047185.0,3.79,173018
2000-05-01,5.42969,5.89062,5.42188,5.82031,8130400.0,15047185.0,4.06,173018
2000-05-02,5.78906,5.78906,5.57812,5.65625,4469600.0,15047185.0,3.95,173018
2000-05-03,5.40625,5.46094,5.20312,5.29688,8126400.0,15047185.0,3.7,173018
2000-05-04,5.375,5.5,5.3125,5.34375,6128800.0,15047185.0,3.73,173018
2000-05-05,5.34375,5.41406,5.21875,5.34375,4955200.0,15047185.0,3.73,173018
2000-05-08,5.34375,5.48438,5.32812,5.38281,6868000.0,15047185.0,3.76,173018
