date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,10.26922,10.38898,9.93989,9.96983,1161303.0,8972123.0,1.6,367578
2000-01-04,9.79019,10.05964,9.73031,9.76025,1576308.0,8972123.0,1.57,367578
2000-01-05,9.76025,9.90995,9.67043,9.82013,1172159.0,8972123.0,1.58,367578
2000-01-06,9.73031,10.26922,9.70037,10.08958,3336738.0,8972123.0,1.62,367578
2000-01-07,10.3291,10.77819,10.20934,10.38898,3325674.0,8972123.0,1.67,367578
2000-01-10,10.38898,10.38898,9.96983,10.05964,2256849.0,8972123.0,1.62,367578
2000-01-11,10.05964,10.50874,10.02971,10.44886,2191718.0,8972123.0,1.68,367578
2000-01-12,10.50874,10.53868,10.35904,10.38898,2112391.0,8972123.0,1.67,367578
2000-01-13,10.38898,10.77819,10.35904,10.71831,2998555.0,8972123.0,1.72,367578
2000-01-14,10.71831,10.74825,10.3291,10.53868,1925138.0,8972123.0,1.69,367578
2000-01-17,,,,,,8972123.0,1.69,367578
2000-01-18,10.29916,10.59855,10.1794,10.53868,2645133.0,8972123.0,1.69,367578
2000-01-19,10.53868,10.77819,10.44886,10.68837,3027990.0,8972123.0,1.72,367578
2000-01-20,10.83807,10.83807,10.4788,10.59855,1647076.0,8972123.0,1.7,367578
2000-01-21,10.59855,10.65843,10.29916,10.38898,3216495.0,8972123.0,1.67,367578
2000-01-24,10.53868,10.53868,9.88001,9.99977,2719241.0,8972123.0,1.61,367578
2000-01-25,10.41892,10.41892,9.46086,9.4908,4284485.0,8972123.0,1.53,367578
2000-01-26,9.58061,9.85007,9.52073,9.73031,2695652.0,8972123.0,1.56,367578
2000-01-27,9.85007,9.85007,9.55068,9.64049,2270418.0,8972123.0,1.55,367578
2000-01-28,9.46086,9.76025,9.46086,9.58061,2209670.0,8972123.0,1.54,367578
2000-01-31,9.67043,9.67043,9.22134,9.52073,2261650.0,8972123.0,1.53,367578
2000-02-01,9.4908,9.58061,9.28122,9.4908,1600732.0,8972123.0,1.53,367578
2000-02-02,9.4908,9.64049,9.3411,9.40098,2528230.0,8972123.0,1.51,367578
