date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,5.625,5.625,5.03125,5.28125,923600.0,1753627.0,0.73,43250
2000-01-04,5.21875,5.21875,5.0,5.03125,196400.0,1753627.0,0.7,43250
2000-01-05,5.03125,5.0625,4.89062,4.9375,1044800.0,1753627.0,0.68,43250
2000-01-06,4.95312,4.95312,4.85938,4.90625,469200.0,1753627.0,0.68,43250
2000-01-07,4.875,5.03125,4.875,4.98438,509600.0,1753627.0,0.69,43250
2000-01-10,4.95312,5.01562,4.89062,4.89062,1116400.0,1753627.0,0.68,43250
2000-01-11,4.9375,4.96875,4.625,4.6875,1533200.0,1753627.0,0.65,43250
2000-01-12,4.75,4.75,4.46875,4.53125,1540400.0,1753627.0,0.63,43250
2000-01-13,4.54688,4.75,4.54688,4.75,1454800.0,1753627.0,0.66,43250
2000-01-14,4.8125,4.84375,4.60938,4.71875,692800.0,1753627.0,0.65,43250
2000-01-17,,,,,,1753627.0,0.65,43250
2000-01-18,4.6875,4.70312,4.64062,4.67188,354400.0,1753627.0,0.65,43250
2000-01-19,4.70312,4.70312,4.45312,4.48438,973600.0,1753627.0,0.62,43250
2000-01-20,4.5,4.60938,4.32812,4.53125,1896800.0,1753627.0,0.63,43250
2000-01-21,4.8125,4.84375,4.53125,4.59375,1245200.0,1753627.0,0.64,43250
2000-01-24,4.625,4.70312,4.42188,4.46875,1358800.0,1753627.0,0.62,43250
2000-01-25,4.53125,4.53125,4.1875,4.25,1631600.0,1753627.0,0.59,43250
2000-01-26,4.29688,4.42188,4.28125,4.35938,2785600.0,1753627.0,0.6,43250
2000-01-27,4.375,4.5,4.34375,4.48438,1858800.0,1753627.0,0.62,43250
2000-01-28,4.51562,4.5625,4.4375,4.4375,1246400.0,1753627.0,0.62,43250
2000-01-31,4.48438,4.48438,4.32812,4.35938,1228000.0,1753627.0,0.6,43250
2000-02-01,4.40625,4.4375,4.28125,4.29688,798800.0,1753627.0,0.6,43250
2000-02-02,4.35938,4.35938,4.23438,4.25,1172400.0,1753627.0,0.59,43250
2000-02-03,4.3125,4.35938,4.25,4.3125,999600.0,1753627.0,0.6,43250
2000-02-04,4.32812,4.39062,4.26562,4.3125,4247200.0,1753627.0,0.6,43250
2000-02-07,4.3125,4.32812,4.10938,4.14062,1506400.0,1753627.0,0.57,43250
2000-02-08,4.25,4.51562,4.23438,4.45312,1397600.0,1753627.0,0.62,43250
2000-02-09,4.4375,4.46875,4.375,4.42188,860400.0,1753627.0,0.61,43250
2000-02-10,4.42188,4.48438,4.32812,4.35938,937200.0,1753627.0,0.6,43250
2000-02-11,4.35938,4.48438,4.34375,4.40625,785200.0,1753627.0,0.61,43250
2000-02-14,4.42188,4.45312,4.375,4.39062,664800.0,1753627.0,0.61,43250
2000-02-15,4.35938,4.78125,4.35938,4.625,1352400.0,1753627.0,0.64,43250
2000-02-16,4.625,4.625,4.39062,4.42188,676000.0,1753627.0,0.61,43250
2000-02-17,4.46875,4.5625,4.39062,4.42188,1258400.0,1753627.0,0.61,43250
2000-02-18,4.40625,4.4375,4.21875,4.4375,796000.0,1753627.0,0.62,43250
2000-02-21,,,,,,1753627.0,0.62,43250
2000-02-22,4.40625,4.5,4.3125,4.32812,324400.0,1753627.0,0.6,43250
2000-02-23,4.40625,4.40625,4.25,4.26562,383600.0,1753627.0,0.59,43250
2000-02-24,4.3125,4.375,4.14062,4.20312,634800.0,1753627.0,0.58,43250
2000-02-25,4.1875,4.23438,4.03125,4.04688,810800.0,1753627.0,0.56,43250
2000-02-28,4.0,4.10938,4.0,4.09375,594400.0,1753627.0,0.57,43250
2000-02-29,4.14062,4.29688,4.07812,4.20312,741200.0,1753627.0,0.58,43250
2000-03-01,4.20312,4.32812,4.14062,4.26562,714400.0,1753627.0,0.59,43250
2000-03-02,4.26562,4.28125,4.0,4.15625,1325600.0,1753627.0,0.58,43250
2000-03-03,4.20312,4.25,4.04688,4.125,523600.0,1753627.0,0.57,43250
2000-03-06,4.125,4.17188,4.03125,4.04688,433600.0,1753627.0,0.56,43224
2000-03-07,4.07812,4.09375,3.90625,3.98438,606000.0,1753627.0,0.55,43224
2000-03-08,3.9375,4.0,3.84375,3.92188,416800.0,1753627.0,0.54,43224
2000-03-09,3.875,4.0625,3.8125,4.04688,943600.0,1753627.0,0.56,43224
2000-03-10,4.0,4.04688,3.95312,3.96875,1440000.0,1753627.0,0.55,43224
