date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,6.91667,6.9375,6.58333,6.70833,1722300.0,4198458.0,2.27,165876
2000-01-04,6.66667,6.6875,6.29167,6.45833,1940400.0,4198458.0,2.18,165876
2000-01-05,6.47917,6.60417,6.45833,6.47917,1868400.0,4198458.0,2.19,165876
2000-01-06,6.6875,6.75,6.52083,6.58333,1750800.0,4198458.0,2.23,165876
2000-01-07,6.54167,6.6875,6.375,6.5,2848500.0,4198458.0,2.2,165876
2000-01-10,6.5,6.66667,6.35417,6.35417,3203700.0,4198458.0,2.15,165876
2000-01-11,6.45833,6.5625,6.41667,6.4375,3544500.0,4198458.0,2.18,165876
2000-01-12,6.45833,6.58333,6.41667,6.4375,2127000.0,4198458.0,2.18,165876
2000-01-13,6.4375,6.45833,6.33333,6.375,2440500.0,4198458.0,2.16,165876
2000-01-14,6.4375,6.45833,6.25,6.29167,2813400.0,4198458.0,2.13,165876
2000-01-17,,,,,,4198458.0,2.13,165876
2000-01-18,6.20833,6.29167,6.08333,6.1875,2074200.0,4198458.0,2.09,165876
2000-01-19,6.1875,6.22917,6.10417,6.125,1926000.0,4198458.0,2.07,165876
2000-01-20,6.125,6.125,5.79167,5.875,2576100.0,4198458.0,1.99,165876
2000-01-21,6.0,6.08333,5.89583,5.95833,3363900.0,4198458.0,2.01,165876
2000-01-24,5.95833,6.10417,5.88542,5.97917,1954800.0,4198458.0,2.02,165876
2000-01-25,5.95833,6.14583,5.875,6.0,2505000.0,4198458.0,2.03,165876
2000-01-26,6.0,6.125,5.91667,5.9375,1578000.0,4198458.0,2.01,165876
2000-01-27,5.9375,6.0625,5.89583,5.97917,1505100.0,4198458.0,2.02,165876
2000-01-28,5.95833,5.97917,5.8125,5.8125,1428300.0,4198458.0,1.97,165876
2000-01-31,5.8125,6.04167,5.79167,5.875,2006700.0,4198458.0,1.99,165876
2000-02-01,5.83333,6.16667,5.83333,6.14583,2238000.0,4198458.0,2.08,165876
2000-02-02,6.08333,6.125,5.8125,5.83333,3616500.0,4198458.0,1.97,165876
2000-02-03,5.875,6.5625,5.70833,6.54167,6332400.0,4198458.0,2.21,165876
2000-02-04,6.875,6.89583,6.70833,6.70833,5145300.0,4198458.0,2.27,165876
2000-02-07,6.72917,6.72917,6.66667,6.72917,1731300.0,4198458.0,2.28,165876
2000-02-08,6.66667,6.66667,6.375,6.45833,2132100.0,4198458.0,2.18,165876
2000-02-09,6.45833,6.47917,6.25,6.39583,2290500.0,4198458.0,2.16,165876
2000-02-10,6.39583,6.5625,6.375,6.45833,1351200.0,4198458.0,2.18,165876
2000-02-11,6.45833,6.47917,6.1875,6.22917,1478400.0,4198458.0,2.11,165876
2000-02-14,6.33333,6.375,6.1875,6.3125,2206200.0,4198458.0,2.13,165876
2000-02-15,6.33333,6.66667,6.3125,6.66667,3095100.0,4198458.0,2.25,165876
2000-02-16,6.66667,6.66667,6.45833,6.52083,1392600.0,4198458.0,2.2,165876
2000-02-17,6.54167,6.79167,6.52083,6.75,1856400.0,4198458.0,2.28,165876
2000-02-18,6.6875,6.72917,6.52083,6.60417,2171400.0,4198458.0,2.23,165876
2000-02-21,,,,,,4198458.0,2.23,165876
2000-02-22,6.64583,6.66667,6.5625,6.625,1626000.0,4198458.0,2.24,165876
2000-02-23,6.70833,6.70833,6.45833,6.66667,2664300.0,4198458.0,2.25,165876
2000-02-24,6.58333,6.58333,6.33333,6.39583,1862700.0,4198458.0,2.16,165876
2000-02-25,6.45833,6.58333,6.3125,6.35417,2794200.0,4198458.0,2.15,165876
2000-02-28,6.35417,6.52083,6.35417,6.375,1911900.0,4198458.0,2.16,165876
2000-02-29,6.5,6.5,6.33333,6.375,1655700.0,4198458.0,2.16,165876
2000-03-01,6.54167,6.54167,6.375,6.45833,1464900.0,4198458.0,2.18,165876
2000-03-02,6.45833,6.5625,6.27083,6.35417,1888800.0,4198458.0,2.15,165876
2000-03-03,6.3125,6.83333,6.29167,6.64583,1832700.0,4198458.0,2.25,165876
2000-03-06,6.5625,6.60417,6.3125,6.35417,1489800.0,4198458.0,2.15,165876
2000-03-07,6.4375,6.4375,6.1875,6.27083,2111400.0,4198458.0,2.11,165876
2000-03-08,6.27083,6.42708,6.10417,6.25,3286500.0,4198458.0,2.11,165876
2000-03-09,6.16667,6.375,6.125,6.29167,1266300.0,4198458.0,2.13,165876
2000-03-10,6.375,6.45833,6.29167,6.3125,1664700.0,4198458.0,2.13,165876
2000-03-13,6.25,6.375,6.16667,6.375,1245600.0,4198458.0,2.16,165876
2000-03-14,6.33333,6.41667,6.22917,6.27083,2435700.0,4198458.0,2.12,165876
2000-03-15,6.33333,6.97917,6.27083,6.875,2189100.0,4198458.0,2.32,165876
2000-03-16,6.875,7.66667,6.875,7.625,2895900.0,4198458.0,2.58,165719
2000-03-17,7.58333,7.60417,7.16667,7.25,2358000.0,4198458.0,2.45,165719
2000-03-20,7.29167,7.45833,7.22917,7.29167,1178400.0,4198458.0,2.46,165719
2000-03-21,7.29167,7.47917,7.27083,7.41667,1374300.0,4198458.0,2.51,165719
2000-03-22,7.45833,7.45833,7.08333,7.125,1635300.0,4198458.0,2.41,165719
2000-03-23,7.375,7.4375,7.22917,7.3125,2862900.0,4198458.0,2.47,165719
2000-03-24,7.5,7.625,7.3125,7.4375,4088100.0,4198458.0,2.51,165719
2000-03-27,7.4375,7.5,7.27083,7.3125,3084300.0,4198458.0,2.47,165719
2000-03-28,7.3125,7.47917,7.20833,7.4375,1815300.0,4198458.0,2.51,165719
2000-03-29,7.41667,7.47917,7.33333,7.39583,2111100.0,4198458.0,2.5,165719
2000-03-30,7.29167,7.41667,7.20833,7.3125,2888100.0,4198458.0,2.47,165719
2000-03-31,7.35417,7.5,7.3125,7.375,2045100.0,4198458.0,2.49,165719
