date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,9.03125,9.46875,9.03125,9.3125,535200.0,3343033.0,1.5,28371.0
2000-01-04,9.26562,9.26562,9.04688,9.125,290800.0,3343033.0,1.47,28371.0
2000-01-05,9.15625,9.5,9.15625,9.5,532000.0,3343033.0,1.53,28371.0
2000-01-06,9.46875,10.23438,9.45312,10.20312,1078400.0,3343033.0,1.64,28371.0
2000-01-07,10.25,11.25,10.25,11.04688,1452400.0,3343033.0,1.78,28371.0
2000-01-10,11.15625,11.75,11.15625,11.57812,1233600.0,3343033.0,1.87,28371.0
2000-01-11,11.54688,11.54688,11.125,11.125,1100400.0,3343033.0,1.79,28371.0
2000-01-12,11.14062,11.17188,11.0,11.07812,360400.0,3343033.0,1.79,28371.0
2000-01-13,11.0625,11.5,11.0625,11.5,556800.0,3343033.0,1.85,28371.0
2000-01-14,11.5,11.67188,11.34375,11.45312,858800.0,3343033.0,1.85,28371.0
2000-01-17,,,,,,3343033.0,1.85,28371.0
2000-01-18,11.51562,11.625,11.40625,11.4375,230400.0,3343033.0,1.84,28371.0
2000-01-19,11.40625,11.42188,10.875,11.14062,782800.0,3343033.0,1.8,28371.0
2000-01-20,12.0,12.14062,11.875,12.0,1220800.0,3343033.0,1.93,28371.0
2000-01-21,12.01562,12.28125,11.96875,12.0,1683600.0,3343033.0,1.93,28371.0
2000-01-24,11.96875,12.04688,11.9375,12.0,1110400.0,3343033.0,1.93,28371.0
2000-01-25,12.01562,12.25,11.84375,11.85938,998400.0,3343033.0,1.91,28371.0
2000-01-26,11.85938,11.98438,11.64062,11.64062,775200.0,3343033.0,1.88,28371.0
2000-01-27,11.64062,11.875,11.5,11.5,813200.0,3343033.0,1.85,28371.0
2000-01-28,11.5,11.64062,11.1875,11.25,526800.0,3343033.0,1.81,28371.0
2000-01-31,11.28125,11.39062,11.0625,11.17188,377600.0,3343033.0,1.8,28371.0
2000-02-01,11.20312,11.29688,10.9375,11.26562,574800.0,3343033.0,1.82,28371.0
2000-02-02,11.26562,11.59375,11.21875,11.5,538000.0,3343033.0,1.85,28371.0
2000-02-03,11.5,12.09375,11.5,12.01562,812000.0,3343033.0,1.94,28371.0
2000-02-04,11.98438,12.35938,11.98438,12.125,808800.0,3343033.0,1.95,28371.0
2000-02-07,12.125,12.125,11.875,11.9375,238000.0,3343033.0,1.92,28371.0
2000-02-08,11.9375,12.23438,11.76562,11.78125,426400.0,3343033.0,1.9,28371.0
2000-02-09,11.8125,11.98438,11.46875,11.5,371600.0,3343033.0,1.85,28371.0
2000-02-10,11.4375,11.4375,10.82812,11.39062,766800.0,3343033.0,1.84,28371.0
2000-02-11,11.35938,11.51562,11.25,11.3125,342400.0,3343033.0,1.82,28371.0
2000-02-14,11.21875,11.25,11.01562,11.04688,300800.0,3343033.0,1.78,28371.0
2000-02-15,11.0,11.75,10.90625,11.5625,1029200.0,3343033.0,1.86,28371.0
2000-02-16,11.54688,11.54688,10.78125,10.78125,565600.0,3343033.0,1.74,28371.0
2000-02-17,10.84375,10.84375,10.54688,10.625,774000.0,3343033.0,1.71,28371.0
2000-02-18,10.625,10.625,10.14062,10.21875,958400.0,3343033.0,1.65,28371.0
2000-02-21,,,,,,3343033.0,1.65,28371.0
2000-02-22,10.21875,10.21875,9.8125,10.07812,1105600.0,3343033.0,1.62,28371.0
2000-02-23,10.07812,10.07812,9.8125,9.96875,770000.0,3343033.0,1.61,28371.0
2000-02-24,10.0,10.0,9.54688,9.71875,694400.0,3343033.0,1.57,28371.0
2000-02-25,9.75,9.875,9.625,9.875,568400.0,3343033.0,1.59,28371.0
2000-02-28,9.84375,9.85938,9.57812,9.57812,874400.0,3343033.0,1.54,28371.0
2000-02-29,9.57812,9.92188,9.5625,9.71875,568400.0,3343033.0,1.57,28371.0
2000-03-01,9.73438,10.0625,9.73438,10.01562,452800.0,3343033.0,1.61,28371.0
2000-03-02,10.07812,10.48438,10.07812,10.4375,520800.0,3343033.0,1.68,28371.0
2000-03-03,10.46875,10.46875,10.29688,10.34375,584800.0,3343033.0,1.67,28371.0
2000-03-06,10.3125,10.34375,10.04688,10.07812,392000.0,3343033.0,1.62,28371.0
2000-03-07,10.10938,10.10938,9.78125,9.78125,443200.0,3343033.0,1.58,28371.0
2000-03-08,9.8125,9.8125,9.59375,9.78125,510800.0,3343033.0,1.58,28371.0
2000-03-09,9.84375,10.0625,9.73438,10.03125,545200.0,3343033.0,1.62,28371.0
2000-03-10,10.0,10.0,9.84375,9.875,250800.0,3343033.0,1.59,28371.0
2000-03-13,9.90625,9.90625,9.78125,9.85938,413600.0,3343033.0,1.59,28371.0
2000-03-14,9.875,10.0625,9.875,9.92188,345600.0,3343033.0,1.6,28371.0
2000-03-15,9.9375,9.96875,9.82812,9.95312,475200.0,3343033.0,1.6,28371.0
2000-03-16,10.01562,10.5,10.01562,10.4375,1466400.0,3343033.0,1.68,28371.0
2000-03-17,10.4375,10.57812,10.23438,10.42188,433200.0,3343033.0,1.68,28371.0
2000-03-20,10.42188,10.53125,10.34375,10.46875,408400.0,3343033.0,1.69,28371.0
2000-03-21,10.59375,10.73438,10.54688,10.6875,198000.0,3343033.0,1.72,28371.0
2000-03-22,10.75,11.15625,10.75,11.04688,788000.0,3343033.0,1.78,28371.0
2000-03-23,11.03125,11.03125,10.9375,10.96875,220800.0,3343033.0,1.77,28371.0
2000-03-24,10.9375,11.14062,10.92188,11.125,442000.0,3343033.0,1.79,28371.0
2000-03-27,11.09375,11.09375,10.8125,10.92188,489600.0,3343033.0,1.76,28371.0
2000-03-28,10.89062,10.90625,10.78125,10.79688,423600.0,3343033.0,1.74,28371.0
2000-03-29,10.8125,10.98438,10.78125,10.84375,548000.0,3343033.0,1.75,28371.0
2000-03-30,10.875,11.32812,10.875,11.32812,429200.0,3343033.0,1.83,28371.0
2000-03-31,11.29688,12.53125,11.29688,12.25,1278000.0,3343033.0,1.97,28371.0
2000-04-03,12.21875,12.25,12.125,12.25,462000.0,3343033.0,1.98,28400.0
2000-04-04,12.15625,12.59375,12.15625,12.375,1647200.0,3343033.0,2.0,28400.0
2000-04-05,12.3125,12.54688,12.3125,12.51562,906400.0,3343033.0,2.02,28400.0
2000-04-06,12.64062,12.6875,12.59375,12.6875,758400.0,3343033.0,2.05,28400.0
2000-04-07,12.6875,12.6875,12.5625,12.67188,389600.0,3343033.0,2.04,28400.0
2000-04-10,12.64062,12.98438,12.625,12.92188,765200.0,3343033.0,2.08,28400.0
2000-04-11,12.875,13.01562,12.8125,13.0,532000.0,3343033.0,2.1,28400.0
2000-04-12,12.90625,13.53125,12.89062,13.48438,1599600.0,3343033.0,2.18,28400.0
2000-04-13,13.5625,13.625,13.23438,13.28125,610000.0,3343033.0,2.14,28400.0
2000-04-14,13.25,13.25,12.625,12.79688,821600.0,3343033.0,2.06,28400.0
2000-04-17,12.78125,13.04688,12.53125,12.59375,1036000.0,3343033.0,2.03,28400.0
2000-04-18,12.59375,13.0,12.25,13.0,1206800.0,3343033.0,2.1,28400.0
2000-04-19,13.03125,13.14062,12.9375,13.10938,616800.0,3343033.0,2.11,28400.0
2000-04-20,13.23438,13.5625,13.23438,13.46875,944400.0,3343033.0,2.17,28400.0
2000-04-21,,,,,,3343033.0,2.17,28400.0
2000-04-24,13.4375,13.45312,13.21875,13.42188,637600.0,3343033.0,2.16,28400.0
2000-04-25,13.40625,14.07812,13.40625,13.98438,975600.0,3343033.0,2.26,28400.0
2000-04-26,14.4375,14.4375,13.60938,13.71875,972400.0,3343033.0,2.21,28400.0
2000-04-27,13.73438,13.73438,13.14062,13.29688,643600.0,3343033.0,2.14,28400.0
2000-04-28,13.32812,13.6875,13.1875,13.6875,499600.0,3343033.0,2.21,28400.0
2000-05-01,13.65625,13.85938,13.51562,13.75,914800.0,3343033.0,2.22,28400.0
2000-05-02,13.6875,13.9375,13.67188,13.79688,502800.0,3343033.0,2.23,28400.0
2000-05-03,13.85938,13.85938,13.1875,13.20312,374400.0,3343033.0,2.13,28400.0
2000-05-04,13.17188,13.84375,13.15625,13.71875,921200.0,3343033.0,2.21,28400.0
2000-05-05,13.65625,13.9375,13.59375,13.625,287600.0,3343033.0,2.2,28400.0
