date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,7.0033,7.07686,6.92973,6.97387,917993.0,4068250.0,1.61,118884
2000-01-04,6.91502,7.04743,6.76789,6.90031,817315.0,4068250.0,1.59,118884
2000-01-05,6.91502,7.06215,6.76789,6.82674,1259107.0,4068250.0,1.57,118884
2000-01-06,6.91502,6.95916,6.57662,6.72375,1931141.0,4068250.0,1.55,118884
2000-01-07,6.7826,6.92973,6.59134,6.87088,2186870.0,4068250.0,1.58,118884
2000-01-10,6.94444,7.04743,6.88559,6.95916,940507.0,4068250.0,1.6,118884
2000-01-11,7.0033,7.15042,6.95916,7.01801,649094.0,4068250.0,1.62,118884
2000-01-12,6.94444,7.06215,6.82674,7.03272,982987.0,4068250.0,1.62,118884
2000-01-13,7.04743,7.09157,6.88559,6.92973,1178395.0,4068250.0,1.6,118884
2000-01-14,6.81203,6.94444,6.7826,6.79732,1045008.0,4068250.0,1.57,118884
2000-01-17,,,,,,4068250.0,1.57,118884
2000-01-18,6.73846,6.88559,6.70904,6.79732,641873.0,4068250.0,1.57,118884
2000-01-19,6.76789,6.97387,6.76789,6.94444,829634.0,4068250.0,1.59,118118
2000-01-20,6.95916,7.01801,6.81203,6.90031,1094285.0,4068250.0,1.58,118118
2000-01-21,7.09157,7.09157,6.87088,6.92973,1126570.0,4068250.0,1.59,118118
2000-01-24,6.91502,6.92973,6.85617,6.90031,958349.0,4068250.0,1.58,118118
2000-01-25,6.91502,6.94444,6.67961,6.76789,1961302.0,4068250.0,1.55,118118
2000-01-26,6.7826,6.81203,6.70904,6.79732,857671.0,4068250.0,1.56,118118
2000-01-27,6.82674,6.82674,6.38536,6.5472,1428178.0,4068250.0,1.5,118118
2000-01-28,6.56191,6.57662,6.12053,6.28237,1184767.0,4068250.0,1.44,118118
2000-01-31,6.28237,6.28237,6.03225,6.10581,1799028.0,4068250.0,1.4,118118
2000-02-01,6.16467,6.22352,5.88512,6.14995,1944310.0,4068250.0,1.41,118118
2000-02-02,6.17938,6.32651,6.12053,6.22352,1392070.0,4068250.0,1.42,118118
2000-02-03,6.23823,6.4295,6.23823,6.35593,1203883.0,4068250.0,1.46,118118
2000-02-04,6.35593,6.35593,6.06168,6.10581,1309234.0,4068250.0,1.4,118118
2000-02-07,6.10581,6.22352,5.87041,6.14995,1225548.0,4068250.0,1.41,118118
2000-02-08,6.14995,6.29708,6.00282,6.12053,1566238.0,4068250.0,1.4,118118
2000-02-09,6.16467,6.31179,6.06168,6.12053,1457914.0,4068250.0,1.4,118118
2000-02-10,6.06168,6.0911,5.75271,6.07639,1800302.0,4068250.0,1.39,118118
2000-02-11,6.03225,6.03225,5.67914,5.88512,2369110.0,4068250.0,1.35,118118
2000-02-14,5.88512,5.9734,5.8557,5.92926,2283300.0,4068250.0,1.36,118118
2000-02-15,5.88512,5.98811,5.79685,5.88512,2102760.0,4068250.0,1.35,118118
2000-02-16,5.88512,5.92926,5.78213,5.82627,1446019.0,4068250.0,1.33,118118
2000-02-17,5.8557,5.92926,5.8557,5.91455,1375927.0,4068250.0,1.35,118118
2000-02-18,5.91455,5.92926,5.87041,5.91455,2280751.0,4068250.0,1.35,118118
2000-02-21,,,,,,4068250.0,1.35,118118
2000-02-22,5.89984,5.94397,5.82627,5.87041,1360210.0,4068250.0,1.34,118118
2000-02-23,5.82627,6.07639,5.75271,5.8557,1245089.0,4068250.0,1.34,118118
2000-02-24,5.8557,5.8557,5.48788,5.78213,1961726.0,4068250.0,1.32,118118
2000-02-25,5.79685,5.87041,5.23776,5.3996,1676261.0,4068250.0,1.24,118118
2000-02-28,5.50259,5.92926,5.38489,5.82627,2215332.0,4068250.0,1.33,118118
2000-02-29,5.76742,5.87041,5.57615,5.81156,1349165.0,4068250.0,1.33,118118
2000-03-01,5.79685,5.88512,5.53201,5.87041,1078992.0,4068250.0,1.34,118118
2000-03-02,5.88512,5.88512,5.635,5.78213,1677535.0,4068250.0,1.32,118118
2000-03-03,5.69386,5.87041,5.57615,5.76742,855547.0,4068250.0,1.32,118118
2000-03-06,5.66443,5.66443,5.35546,5.3996,1470658.0,4068250.0,1.24,118118
2000-03-07,5.31132,5.44374,5.12006,5.19362,1372104.0,4068250.0,1.19,118118
2000-03-08,5.00235,5.29661,4.92879,5.22305,1920521.0,4068250.0,1.2,118118
2000-03-09,5.1642,5.62029,5.10534,5.62029,2244643.0,4068250.0,1.29,118118
2000-03-10,5.56144,5.57615,5.20833,5.42903,1484251.0,4068250.0,1.24,118118
2000-03-13,5.41431,5.47316,5.2819,5.44374,1453241.0,4068250.0,1.25,118118
2000-03-14,5.34075,5.49523,5.23776,5.41431,1861049.0,4068250.0,1.24,118118
2000-03-15,5.38489,5.62029,5.29661,5.62029,3035196.0,4068250.0,1.29,118118
2000-03-16,5.64972,6.50306,5.64972,6.32651,1903954.0,4068250.0,1.45,118118
2000-03-17,6.06168,6.0911,5.88512,6.00282,2254838.0,4068250.0,1.37,118118
2000-03-20,6.04696,6.10581,5.8557,5.88512,1307959.0,4068250.0,1.35,118118
2000-03-21,5.88512,5.9734,5.73799,5.88512,1190290.0,4068250.0,1.35,118118
2000-03-22,5.94397,5.94397,5.78213,5.87041,2220854.0,4068250.0,1.34,118118
2000-03-23,5.73799,6.01754,5.66443,5.91455,899726.0,4068250.0,1.35,118118
2000-03-24,5.91455,5.91455,5.72328,5.88512,1076868.0,4068250.0,1.35,118118
2000-03-27,5.88512,5.88512,5.64972,5.8557,1294790.0,4068250.0,1.34,118118
2000-03-28,5.81156,5.91455,5.70857,5.79685,1030140.0,4068250.0,1.33,118118
2000-03-29,5.82627,5.88512,5.62029,5.87041,683078.0,4068250.0,1.34,118118
2000-03-30,5.89984,5.89984,5.66443,5.81156,929038.0,4068250.0,1.3,115114
2000-03-31,5.67914,5.8557,5.59087,5.66443,1639728.0,4068250.0,1.26,115114
2000-04-03,5.76742,5.92926,5.66443,5.66443,1214928.0,4068250.0,1.26,115114
2000-04-04,5.75271,5.9734,5.66443,5.8557,1411610.0,4068250.0,1.31,115114
2000-04-05,5.89984,5.9734,5.66443,5.70857,791827.0,4068250.0,1.27,115114
2000-04-06,5.76742,5.94397,5.66443,5.89984,931586.0,4068250.0,1.32,115114
2000-04-07,5.91455,6.00282,5.66443,5.67914,980863.0,4068250.0,1.27,115114
2000-04-10,5.76742,5.82627,5.56144,5.66443,722585.0,4068250.0,1.26,115114
2000-04-11,5.76742,6.25294,5.73799,6.23823,2536481.0,4068250.0,1.39,115114
2000-04-12,6.23823,6.50306,6.22352,6.38536,1589177.0,4068250.0,1.42,115114
2000-04-13,6.29708,6.5472,6.2088,6.35593,1121472.0,4068250.0,1.42,115114
2000-04-14,6.32651,6.37065,6.0911,6.17938,1573459.0,4068250.0,1.38,115114
2000-04-17,6.2088,6.25294,5.89984,6.19409,1086214.0,4068250.0,1.38,115114
2000-04-18,6.13524,6.34122,6.03225,6.19409,1012723.0,4068250.0,1.38,115114
2000-04-19,6.13524,6.28237,6.03225,6.17938,483422.0,4068250.0,1.38,115114
2000-04-20,6.16467,6.23823,5.91455,6.17938,809244.0,4068250.0,1.38,115114
2000-04-21,,,,,,4068250.0,1.38,115114
2000-04-24,6.34122,6.50306,6.29708,6.45892,889106.0,4068250.0,1.44,115114
2000-04-25,6.41478,6.97387,6.41478,6.97387,1668614.0,4068250.0,1.56,115114
2000-04-26,6.91502,6.91502,6.51777,6.6649,1123171.0,4068250.0,1.49,115114
2000-04-27,6.6649,6.76789,6.59134,6.63548,1581955.0,4068250.0,1.48,115114
2000-04-28,6.63548,6.7826,6.59134,6.65019,1717891.0,4068250.0,1.48,115114
2000-05-01,6.62076,7.15042,6.60605,7.0033,1599372.0,4068250.0,1.56,115114
2000-05-02,6.97387,6.97387,6.67961,6.75318,1028866.0,4068250.0,1.51,115114
2000-05-03,6.76789,6.82674,6.69433,6.76789,1395468.0,4068250.0,1.51,115114
2000-05-04,6.82674,7.0033,6.69433,6.73846,1235318.0,4068250.0,1.5,115114
2000-05-05,6.73846,6.79732,6.6649,6.73846,1399716.0,4068250.0,1.5,115114
2000-05-08,6.79732,6.94444,6.59134,6.65019,1234469.0,4068250.0,1.48,115114
2000-05-09,6.72375,6.82674,6.6649,6.79732,1160978.0,4068250.0,1.52,115114
2000-05-10,6.79732,6.84145,6.73846,6.79732,475776.0,4068250.0,1.52,115114
2000-05-11,6.76789,6.92973,6.73846,6.82674,2264609.0,4068250.0,1.51,114187
2000-05-12,6.81203,6.91502,6.76789,6.82674,1115525.0,4068250.0,1.51,114187
2000-05-15,6.85617,7.09157,6.82674,6.87088,1293091.0,4068250.0,1.52,114187
2000-05-16,6.95916,7.04743,6.88559,6.97387,547142.0,4068250.0,1.54,114187
2000-05-17,6.87088,6.88559,6.65019,6.76789,1138889.0,4068250.0,1.5,114187
2000-05-18,6.81203,6.90031,6.75318,6.85617,622757.0,4068250.0,1.52,114187
2000-05-19,6.82674,6.87088,6.73846,6.75318,969394.0,4068250.0,1.49,114187
2000-05-22,6.81203,6.81203,6.70904,6.76789,540346.0,4068250.0,1.5,114187
2000-05-23,6.7826,7.0033,6.76789,6.88559,643147.0,4068250.0,1.52,114187
2000-05-24,6.97387,7.17985,6.95916,7.10629,1097683.0,4068250.0,1.57,114187
2000-05-25,7.04743,7.10629,6.76789,6.82674,848750.0,4068250.0,1.51,114187
2000-05-26,6.82674,6.97387,6.73846,6.79732,745949.0,4068250.0,1.5,114187
2000-05-29,,,,,,4068250.0,1.5,114187
2000-05-30,6.76789,6.81203,6.6649,6.7826,1341094.0,4068250.0,1.5,114187
2000-05-31,6.84145,6.94444,6.73846,6.75318,1267178.0,4068250.0,1.49,114187
2000-06-01,6.73846,7.06215,6.69433,7.03272,1626559.0,4068250.0,1.56,114187
2000-06-02,7.15042,7.3564,7.04743,7.07686,2248042.0,4068250.0,1.57,114187
2000-06-05,7.09157,7.09157,6.72375,6.75318,811368.0,4068250.0,1.49,114187
2000-06-06,6.73846,6.73846,6.5472,6.57662,2136319.0,4068250.0,1.46,114187
2000-06-07,6.56191,6.81203,6.53249,6.73846,2231050.0,4068250.0,1.49,114187
2000-06-08,6.79732,6.82674,6.29708,6.44421,1474056.0,4068250.0,1.43,114187
2000-06-09,6.50306,6.59134,6.35593,6.35593,1156730.0,4068250.0,1.41,114187
2000-06-12,6.29708,6.38536,6.25294,6.25294,800748.0,4068250.0,1.38,114187
2000-06-13,6.28237,6.28237,6.10581,6.16467,1260382.0,4068250.0,1.36,114187
2000-06-14,6.16467,6.23823,6.12053,6.14995,1822392.0,4068250.0,1.36,114187
2000-06-15,6.2088,6.23823,5.89984,5.95869,2271830.0,4068250.0,1.32,114187
2000-06-16,5.84098,6.14995,5.84098,6.07639,1616364.0,4068250.0,1.34,114187
2000-06-19,6.13524,6.19409,5.66443,5.66443,1877191.0,4068250.0,1.25,114187
2000-06-20,5.78213,5.87041,5.66443,5.66443,1156306.0,4068250.0,1.25,114187
2000-06-21,5.76742,5.78213,5.47316,5.5173,1014422.0,4068250.0,1.22,114187
2000-06-22,5.45845,5.635,5.44374,5.54673,1085364.0,4068250.0,1.23,114187
2000-06-23,5.60558,5.62029,5.38489,5.53201,616810.0,4068250.0,1.22,114187
2000-06-26,5.56144,5.76742,5.56144,5.66443,808819.0,4068250.0,1.25,114187
2000-06-27,5.66443,5.88512,5.54673,5.66443,1602346.0,4068250.0,1.25,114187
2000-06-28,5.66443,5.70857,5.5173,5.55041,1175846.0,4068250.0,1.23,114187
2000-06-29,5.53201,5.94397,5.47316,5.88512,1385698.0,4068250.0,1.3,114187
2000-06-30,5.82627,5.84098,5.54673,5.60558,1968948.0,4068250.0,1.24,114187
2000-07-03,5.59087,5.64972,5.54673,5.60558,674158.0,4068250.0,1.24,114187
2000-07-04,,,,,,4068250.0,1.24,114187
2000-07-05,5.66443,5.8557,5.59087,5.72328,1071770.0,4068250.0,1.27,114187
2000-07-06,5.84098,5.94397,5.75271,5.82627,1598947.0,4068250.0,1.29,114187
2000-07-07,5.79685,6.25294,5.73799,6.23823,1313057.0,4068250.0,1.38,114187
2000-07-10,6.34122,6.5472,5.9734,5.9734,1982117.0,4068250.0,1.32,114187
2000-07-11,5.91455,6.31179,5.8557,6.25294,1533103.0,4068250.0,1.38,114187
2000-07-12,6.25294,6.32651,5.94397,5.9734,1305410.0,4068250.0,1.32,114187
2000-07-13,5.91455,5.95869,5.81156,5.82627,1400990.0,4068250.0,1.29,114187
2000-07-14,5.82627,5.89984,5.69386,5.76742,1347466.0,4068250.0,1.28,114187
2000-07-17,5.73799,6.04696,5.73799,6.01754,1048406.0,4068250.0,1.33,114187
2000-07-18,6.12053,6.17938,6.04696,6.16467,1355112.0,4068250.0,1.36,114187
2000-07-19,6.16467,6.22352,5.95869,6.01754,651218.0,4068250.0,1.33,114187
2000-07-20,5.95869,6.06168,5.8557,6.01754,794801.0,4068250.0,1.33,114187
2000-07-21,5.98811,6.00282,5.75271,5.75271,616385.0,4068250.0,1.27,114187
2000-07-24,5.69386,5.69386,5.5173,5.62029,1110002.0,4068250.0,1.24,114187
2000-07-25,5.635,5.78213,5.42903,5.42903,1261656.0,4068250.0,1.2,114187
2000-07-26,5.41431,5.5173,5.19362,5.19362,1832587.0,4068250.0,1.15,114187
2000-07-27,5.2819,5.34075,5.22305,5.26719,1286719.0,4068250.0,1.17,114187
2000-07-28,5.32604,5.32604,5.17891,5.19362,542470.0,4068250.0,1.15,114187
2000-07-31,5.19362,5.26719,5.13477,5.17891,1160978.0,4068250.0,1.15,114187
2000-08-01,5.23776,5.29661,5.17891,5.17891,770162.0,4068250.0,1.15,114187
2000-08-02,5.26719,5.50259,5.25247,5.38489,1081541.0,4068250.0,1.19,114187
2000-08-03,5.32604,5.47316,5.19362,5.19362,756994.0,4068250.0,1.15,114187
2000-08-04,5.17891,5.44374,5.1642,5.34075,802447.0,4068250.0,1.18,114187
2000-08-07,5.32604,5.67914,5.29661,5.5173,1163952.0,4068250.0,1.22,114187
2000-08-08,5.56144,5.67914,5.50259,5.59087,601517.0,4068250.0,1.24,114187
2000-08-09,5.53201,5.635,5.37017,5.53201,591322.0,4068250.0,1.22,114187
2000-08-10,5.59087,5.635,5.35546,5.37017,326671.0,4068250.0,1.19,114187
2000-08-11,5.41431,5.53201,5.37017,5.41431,412481.0,4068250.0,1.2,114187
2000-08-14,5.48788,5.62029,5.44374,5.50259,504238.0,4068250.0,1.22,114187
2000-08-15,5.47316,5.50259,5.41431,5.42903,480449.0,4068250.0,1.2,114187
2000-08-16,5.41431,5.50259,5.29661,5.29661,454536.0,4068250.0,1.17,114187
2000-08-17,5.41431,5.67914,5.3996,5.53201,810518.0,4068250.0,1.22,114187
2000-08-18,5.48788,5.56144,5.34075,5.37017,756994.0,4068250.0,1.19,114187
2000-08-21,5.32604,5.3996,5.19362,5.3996,463032.0,4068250.0,1.19,114187
2000-08-22,5.44374,5.48788,5.38489,5.47316,469829.0,4068250.0,1.21,114187
2000-08-23,5.48788,5.62029,5.47316,5.47316,573055.0,4068250.0,1.21,114187
2000-08-24,5.42903,5.635,5.42903,5.54673,520380.0,4068250.0,1.23,114540
2000-08-25,5.53201,5.60558,5.38489,5.48788,599393.0,4068250.0,1.22,114540
2000-08-28,5.54673,5.57615,5.41431,5.45845,1012723.0,4068250.0,1.21,114540
2000-08-29,5.44374,5.48788,5.31132,5.34075,1362758.0,4068250.0,1.19,114540
2000-08-30,5.2819,5.45845,5.25247,5.42903,985961.0,4068250.0,1.21,114540
2000-08-31,5.3996,5.47316,5.35546,5.38489,804146.0,4068250.0,1.2,114540
2000-09-01,5.3996,5.60558,5.38489,5.54673,901850.0,4068250.0,1.23,114540
2000-09-04,,,,,,4068250.0,1.23,114540
2000-09-05,5.54673,5.72328,5.54673,5.62029,586649.0,4068250.0,1.25,114540
2000-09-06,5.57615,5.64972,5.53201,5.64972,1588327.0,4068250.0,1.25,114540
2000-09-07,5.62029,5.73799,5.60558,5.73799,1078142.0,4068250.0,1.27,114540
2000-09-08,5.73799,5.87041,5.73799,5.84098,1039061.0,4068250.0,1.3,114540
2000-09-11,5.82627,5.87041,5.72328,5.84098,1174997.0,4068250.0,1.3,114540
2000-09-12,5.79685,6.01754,5.79685,6.01754,744250.0,4068250.0,1.34,114540
2000-09-13,5.91455,6.06168,5.88512,6.00282,1091736.0,4068250.0,1.33,114540
2000-09-14,6.00282,6.00282,5.87041,5.89984,691150.0,4068250.0,1.31,114540
2000-09-15,5.88512,5.94397,5.84098,5.87041,1514412.0,4068250.0,1.3,114540
2000-09-18,5.92926,5.92926,5.67914,5.84098,1170749.0,4068250.0,1.3,114540
2000-09-19,5.84098,5.87041,5.69386,5.70857,1253585.0,4068250.0,1.27,114540
2000-09-20,5.73799,5.75271,5.60558,5.64972,982562.0,4068250.0,1.25,114540
2000-09-21,5.66443,6.0911,5.635,5.82627,1555193.0,4068250.0,1.29,114540
2000-09-22,5.88512,5.9734,5.66443,5.92926,881460.0,4068250.0,1.32,114540
2000-09-25,5.89984,5.89984,5.60558,5.64972,2146514.0,4068250.0,1.25,114540
2000-09-26,5.70857,5.87041,5.67914,5.81156,1670314.0,4068250.0,1.29,114540
2000-09-27,5.78213,5.95869,5.76742,5.8557,803722.0,4068250.0,1.3,114540
2000-09-28,5.89984,5.92926,5.78213,5.81156,573480.0,4068250.0,1.29,114540
2000-09-29,5.79685,5.88512,5.78213,5.81156,1316880.0,4068250.0,1.29,114540
2000-10-02,5.76742,5.84098,5.75271,5.81156,1793081.0,4068250.0,1.29,114540
2000-10-03,5.81156,5.88512,5.76742,5.82627,976615.0,4068250.0,1.29,114540
2000-10-04,5.8557,5.94397,5.79685,5.79685,536522.0,4068250.0,1.29,114540
2000-10-05,5.79685,6.14995,5.78213,6.12053,832183.0,4068250.0,1.36,114540
2000-10-06,6.10581,6.12053,5.88512,5.92926,731081.0,4068250.0,1.32,114540
2000-10-09,5.98811,6.03225,5.72328,5.79685,513158.0,4068250.0,1.29,114540
2000-10-10,5.78213,5.94397,5.78213,5.81156,429048.0,4068250.0,1.29,114540
2000-10-11,5.78213,5.79685,5.54673,5.62029,1228522.0,4068250.0,1.25,114540
2000-10-12,5.56144,5.56144,5.34075,5.47316,971518.0,4068250.0,1.22,114540
2000-10-13,5.38489,5.56144,5.32604,5.44374,1575583.0,4068250.0,1.21,114540
2000-10-16,5.3996,5.60558,5.3996,5.60558,572206.0,4068250.0,1.24,114540
2000-10-17,5.59087,5.59087,5.32604,5.42903,466006.0,4068250.0,1.21,114540
2000-10-18,5.42903,5.44374,5.29661,5.35546,460908.0,4068250.0,1.19,114540
2000-10-19,5.29661,6.06168,5.29661,6.06168,1265904.0,4068250.0,1.35,114540
2000-10-20,5.9734,5.9734,5.76742,5.76742,987235.0,4068250.0,1.28,114540
2000-10-23,5.76742,5.88512,5.70857,5.76742,697097.0,4068250.0,1.28,114540
2000-10-24,5.76742,5.95869,5.72328,5.95869,688176.0,4068250.0,1.32,114540
2000-10-25,5.98811,5.98811,5.78213,5.87041,560311.0,4068250.0,1.3,114540
2000-10-26,5.81156,5.9734,5.72328,5.84098,850450.0,4068250.0,1.3,114540
2000-10-27,5.84098,6.0911,5.78213,6.07639,874663.0,4068250.0,1.35,114540
2000-10-30,6.0911,6.40007,6.03225,6.37065,788854.0,4068250.0,1.41,114540
2000-10-31,6.32651,6.48835,6.26765,6.4295,915869.0,4068250.0,1.43,114540
2000-11-01,6.37065,6.47364,6.28237,6.38536,648245.0,4068250.0,1.42,114540
2000-11-02,6.34122,6.70904,6.32651,6.69433,782057.0,4068250.0,1.49,114540
2000-11-03,6.65019,6.65019,6.47364,6.63548,767189.0,4068250.0,1.47,114540
2000-11-06,6.59134,6.70904,6.56191,6.63548,591322.0,4068250.0,1.47,114540
2000-11-07,6.59134,6.63548,6.48835,6.59134,421402.0,4068250.0,1.46,114540
2000-11-08,6.5472,6.79732,6.53249,6.75318,767614.0,4068250.0,1.5,114540
2000-11-09,6.76789,6.82674,6.5472,6.75318,690300.0,4068250.0,1.49,113764
2000-11-10,6.79732,6.79732,6.28237,6.48835,783331.0,4068250.0,1.43,113764
2000-11-13,6.4295,6.72375,6.4295,6.70904,578153.0,4068250.0,1.48,113764
2000-11-14,6.63548,6.72375,6.50306,6.65019,627005.0,4068250.0,1.47,113764
2000-11-15,6.69433,6.73846,6.51777,6.56191,667786.0,4068250.0,1.45,113764
2000-11-16,6.60605,6.79732,6.48835,6.56191,587923.0,4068250.0,1.45,113764
2000-11-17,6.53249,6.75318,6.45892,6.6649,855972.0,4068250.0,1.47,113764
2000-11-20,6.67961,6.75318,6.48835,6.62076,650369.0,4068250.0,1.46,113764
2000-11-21,6.59134,6.59134,6.35593,6.40007,680105.0,4068250.0,1.41,113764
2000-11-22,6.40007,6.40007,6.12053,6.2088,599818.0,4068250.0,1.37,113764
2000-11-23,,,,,,4068250.0,1.37,113764
2000-11-24,6.26765,6.38536,6.25294,6.32651,316901.0,4068250.0,1.39,113764
2000-11-27,6.32651,6.6649,6.32651,6.50306,695822.0,4068250.0,1.43,113764
2000-11-28,6.53249,6.63548,6.48835,6.59134,727258.0,4068250.0,1.45,113764
2000-11-29,6.60605,6.72375,6.59134,6.65019,671184.0,4068250.0,1.47,113764
2000-11-30,6.67961,6.72375,6.29708,6.34122,1248912.0,4068250.0,1.4,113764
2000-12-01,6.40007,6.97387,6.40007,6.92973,1152482.0,4068250.0,1.53,113764
2000-12-04,6.89736,7.14689,6.89501,6.91149,1158854.0,4068250.0,1.52,113764
2000-12-05,6.96799,7.05744,6.93738,7.04567,676706.0,4068250.0,1.55,113764
2000-12-06,6.99153,7.20104,6.99153,7.09039,1408212.0,4068250.0,1.56,113764
2000-12-07,7.05038,7.10923,6.98682,7.06215,632952.0,4068250.0,1.56,113764
2000-12-08,7.01507,7.23164,6.98211,7.14454,833882.0,4068250.0,1.58,113764
2000-12-11,7.121,7.21516,7.01507,7.13983,765490.0,4068250.0,1.57,113764
2000-12-12,7.06215,7.26224,7.02213,7.22693,978739.0,4068250.0,1.59,113764
2000-12-13,7.28578,7.2952,7.13983,7.22222,751046.0,4068250.0,1.59,113764
2000-12-14,7.22222,7.50471,7.18456,7.45292,937534.0,4068250.0,1.64,113764
2000-12-15,7.65066,7.76836,7.59181,7.74482,2991866.0,4068250.0,1.71,113764
2000-12-18,7.78013,8.06026,7.69774,7.92137,2529684.0,4068250.0,1.75,113764
2000-12-19,7.92137,8.21563,7.90961,8.18503,1512288.0,4068250.0,1.8,113764
2000-12-20,8.18503,8.39219,8.05791,8.27448,970668.0,4068250.0,1.82,113764
2000-12-21,8.24152,8.32156,8.15678,8.18032,1472782.0,4068250.0,1.8,113764
2000-12-22,8.06262,8.28861,8.01789,8.26742,995731.0,4068250.0,1.82,113764
2000-12-25,,,,,,4068250.0,1.82,113764
2000-12-26,8.23917,8.47222,8.23917,8.46516,590472.0,4068250.0,1.87,113764
2000-12-27,8.46516,8.56874,8.4016,8.56638,1039486.0,4068250.0,1.89,113764
2000-12-28,8.50753,8.63936,8.40396,8.6064,1413734.0,4068250.0,1.9,113764
2000-12-29,8.66525,8.68644,8.47458,8.53107,1090037.0,4068250.0,1.88,113764
2001-01-01,,,,,,4291029.0,1.95,113764
2001-01-02,8.47222,8.51695,8.258,8.26507,1163952.0,4291029.0,1.89,113764
2001-01-03,8.26742,8.46281,8.05556,8.44397,1943885.0,4291029.0,1.93,113764
2001-01-04,8.44397,8.62523,8.33569,8.6017,2059855.0,4291029.0,1.97,113764
2001-01-05,8.64878,8.64878,8.36864,8.371,664812.0,4291029.0,1.91,113764
2001-01-08,8.371,8.6935,8.33569,8.65113,974491.0,4291029.0,1.98,113764
2001-01-09,8.64878,8.64878,8.43927,8.53343,759967.0,4291029.0,1.95,113764
2001-01-10,8.41572,8.43456,8.20386,8.31686,1095134.0,4291029.0,1.9,113764
2001-01-11,8.31686,8.31686,7.992,8.02966,1533953.0,4291029.0,1.84,113764
2001-01-12,8.05085,8.24859,7.95904,8.11205,1338970.0,4291029.0,1.86,113764
2001-01-15,,,,,,4291029.0,1.86,113764
2001-01-16,8.0532,8.44633,8.03201,8.39454,739577.0,4291029.0,1.92,113764
2001-01-17,8.41808,8.47222,8.33333,8.38748,698796.0,4291029.0,1.92,113764
2001-01-18,8.38748,8.53343,8.37571,8.43927,520380.0,4291029.0,1.93,113764
2001-01-19,8.35923,8.371,7.8225,7.88842,1289693.0,4291029.0,1.8,113764
2001-01-22,7.88842,8.14972,7.81544,7.96139,1056902.0,4291029.0,1.82,113764
2001-01-23,8.00377,8.10264,7.94727,7.98258,706018.0,4291029.0,1.83,113764
2001-01-24,7.98023,8.02495,7.84369,7.9049,856397.0,4291029.0,1.81,113764
2001-01-25,7.78719,7.98023,7.71893,7.9049,2006755.0,4291029.0,1.81,113764
2001-01-26,7.81544,7.93315,7.80367,7.86017,1020370.0,4291029.0,1.8,113764
2001-01-29,7.85781,8.09793,7.85781,8.06026,596844.0,4291029.0,1.84,113764
2001-01-30,8.00377,8.16855,7.98023,8.09087,567108.0,4291029.0,1.85,113764
2001-01-31,8.09087,8.34275,8.0791,8.20621,691150.0,4291029.0,1.88,113764
2001-02-01,8.2533,8.30509,8.18503,8.22976,408233.0,4291029.0,1.88,113764
2001-02-02,8.28625,8.35687,8.20386,8.21092,663113.0,4291029.0,1.88,113764
2001-02-05,8.28625,8.30744,8.09793,8.21328,532274.0,4291029.0,1.88,113764
2001-02-06,8.2274,8.4322,8.22034,8.42043,889531.0,4291029.0,1.93,113764
2001-02-07,8.33333,8.43927,8.1403,8.40631,895903.0,4291029.0,1.92,113764
2001-02-08,8.46516,8.46516,8.15207,8.28154,753595.0,4291029.0,1.89,113764
2001-02-09,8.22269,8.28625,8.09322,8.09793,468554.0,4291029.0,1.85,113764
2001-02-12,8.15678,8.32392,8.06497,8.28625,867442.0,4291029.0,1.9,113764
2001-02-13,8.3451,8.53107,8.28625,8.50753,1166926.0,4291029.0,1.95,113764
2001-02-14,8.45104,8.46281,8.37571,8.44868,754020.0,4291029.0,1.93,113764
2001-02-15,8.36864,8.42514,8.34275,8.40631,530575.0,4291029.0,1.92,113764
2001-02-16,8.40396,8.45104,8.3451,8.43691,826661.0,4291029.0,1.93,113764
2001-02-19,,,,,,4291029.0,1.93,113764
2001-02-20,8.52166,8.62759,8.40866,8.41572,1092161.0,4291029.0,1.92,113764
2001-02-21,8.41808,8.41808,8.02731,8.03672,874238.0,4291029.0,1.84,113764
