date,open,high,low,close,volume,market cap (2),book to market_for security,number of shares
2000-01-03,68.375,69.0,65.5,66.8125,8369900.0,237468750.0,11.53,4453739
2000-01-04,65.5,65.8125,64.1875,64.3125,6745100.0,237468750.0,11.08,4453739
2000-01-05,63.875,64.375,62.1875,63.0,7018700.0,237468750.0,10.86,4453739
2000-01-06,63.0,64.5625,62.6875,63.6875,6544500.0,237468750.0,10.98,4453739
2000-01-07,64.5,68.9375,64.5,68.5,7976900.0,237468750.0,11.81,4453739
2000-01-10,67.25,67.5,65.625,67.25,6714300.0,237468750.0,11.59,4453739
2000-01-11,67.0625,67.75,65.625,66.25,4943300.0,237468750.0,11.42,4453739
2000-01-12,66.1875,66.75,65.0625,65.0625,4085000.0,237468750.0,11.22,4453739
2000-01-13,66.0,66.125,65.0,65.125,5021000.0,237468750.0,11.23,4453739
2000-01-14,64.0,65.9375,64.0,64.5,6312200.0,237468750.0,11.12,4453739
2000-01-17,,,,,,237468750.0,11.12,4453739
2000-01-18,63.1875,66.4375,63.0625,65.5625,6442200.0,237468750.0,11.3,4453739
2000-01-19,65.25,65.8125,64.0,64.0625,4819900.0,237468750.0,11.04,4453739
2000-01-20,64.4375,64.5,62.5,63.375,5738100.0,237468750.0,10.93,4453739
2000-01-21,63.9375,63.9375,62.0625,62.4375,6952500.0,237468750.0,10.76,4453739
2000-01-24,63.4375,63.4375,57.5,59.375,7799900.0,237468750.0,10.17,4453739
2000-01-25,59.8125,61.1875,59.5,61.125,6403800.0,237468750.0,10.54,4453739
2000-01-26,61.125,62.0625,60.0,61.9375,4538400.0,237468750.0,10.68,4453739
2000-01-27,61.3125,61.5,57.875,59.125,7323300.0,237468750.0,10.19,4453739
2000-01-28,58.875,58.875,53.5,55.125,14029400.0,237468750.0,9.5,4453739
2000-01-31,54.5625,55.5,54.125,54.75,7972700.0,237468750.0,9.44,4453739
2000-02-01,55.0,59.5,54.9375,58.6875,8359000.0,237468750.0,8.34,4453739
2000-02-02,58.875,60.125,57.9375,58.375,6034600.0,237468750.0,8.29,4453739
2000-02-03,58.375,58.8125,56.25,58.375,6999000.0,237468750.0,8.29,4453739
2000-02-04,57.9375,57.9375,56.0,56.3125,6549700.0,237468750.0,8.0,4453739
2000-02-07,56.625,56.625,54.625,55.75,6043700.0,237468750.0,7.84,4453739
2000-02-08,57.3125,59.6875,56.875,59.5,8576100.0,237468750.0,8.45,4453739
2000-02-09,60.0,60.125,57.3125,57.8125,8216600.0,237468750.0,8.17,4453739
2000-02-10,57.625,58.375,56.8125,57.0,4591600.0,237468750.0,8.23,4453739
2000-02-11,57.4375,57.5,55.625,56.0625,4816700.0,237468750.0,7.97,4453739
2000-02-14,56.6875,58.875,56.5,58.875,5803600.0,237468750.0,8.22,4453739
2000-02-15,56.9375,58.0,55.0,58.0,9712100.0,237468750.0,8.24,4453739
2000-02-16,56.5,56.5,52.6875,52.75,13585800.0,237468750.0,7.51,4453739
